Grid Search Report

Parameters                                                                                                    Mean Fit Time                                                                                                 Std Dev Fit Time                                                                                              Split 0 Score                                                                                                 Split 1 Score                                                                                                 Split 2 Score                                                                                                 Split 3 Score                                                                                                 Split 4 Score                                                                                                 
{'learning_rate': 0.1, 'max_iters': 200, 'schedule': GeomDecay(init_temp=1, decay=0.99, min_temp=0.001)}      3.3569                                                                                                        0.0778                                                                                                        0.7477                                                                                                        0.7433                                                                                                        0.7538                                                                                                        0.7622                                                                                                        0.7574                                                                                                        
{'learning_rate': 0.1, 'max_iters': 200, 'schedule': GeomDecay(init_temp=1, decay=0.99, min_temp=0.1)}        3.5717                                                                                                        0.1333                                                                                                        0.7641                                                                                                        0.7520                                                                                                        0.7568                                                                                                        0.7684                                                                                                        0.7732                                                                                                        
{'learning_rate': 0.1, 'max_iters': 200, 'schedule': GeomDecay(init_temp=1, decay=0.9999, min_temp=0.001)}    3.7976                                                                                                        0.1095                                                                                                        0.7497                                                                                                        0.7464                                                                                                        0.7571                                                                                                        0.7474                                                                                                        0.7691                                                                                                        
{'learning_rate': 0.1, 'max_iters': 1000, 'schedule': GeomDecay(init_temp=1, decay=0.99, min_temp=0.001)}     17.7980                                                                                                       0.3403                                                                                                        0.8219                                                                                                        0.8068                                                                                                        0.8221                                                                                                        0.8326                                                                                                        0.8280                                                                                                        
{'learning_rate': 0.1, 'max_iters': 1000, 'schedule': GeomDecay(init_temp=1, decay=0.99, min_temp=0.1)}       17.5877                                                                                                       0.3413                                                                                                        0.8216                                                                                                        0.8175                                                                                                        0.8068                                                                                                        0.8331                                                                                                        0.8329                                                                                                        
{'learning_rate': 0.1, 'max_iters': 1000, 'schedule': GeomDecay(init_temp=1, decay=0.9999, min_temp=0.001)}   17.9118                                                                                                       0.7149                                                                                                        0.8181                                                                                                        0.8134                                                                                                        0.8080                                                                                                        0.8193                                                                                                        0.8242                                                                                                        
{'learning_rate': 0.01, 'max_iters': 200, 'schedule': GeomDecay(init_temp=1, decay=0.99, min_temp=0.001)}     3.9599                                                                                                        0.1014                                                                                                        0.6786                                                                                                        0.5431                                                                                                        0.6194                                                                                                        0.7609                                                                                                        0.7392                                                                                                        
{'learning_rate': 0.01, 'max_iters': 200, 'schedule': GeomDecay(init_temp=1, decay=0.99, min_temp=0.1)}       3.9130                                                                                                        0.0908                                                                                                        0.2723                                                                                                        0.4584                                                                                                        0.2419                                                                                                        0.5818                                                                                                        0.6309                                                                                                        
{'learning_rate': 0.01, 'max_iters': 200, 'schedule': GeomDecay(init_temp=1, decay=0.9999, min_temp=0.001)}   3.8116                                                                                                        0.0518                                                                                                        0.7183                                                                                                        0.2731                                                                                                        0.2721                                                                                                        0.4085                                                                                                        0.3117                                                                                                        
{'learning_rate': 0.01, 'max_iters': 1000, 'schedule': GeomDecay(init_temp=1, decay=0.99, min_temp=0.001)}    19.6066                                                                                                       0.3026                                                                                                        0.7467                                                                                                        0.7487                                                                                                        0.7200                                                                                                        0.7141                                                                                                        0.7584                                                                                                        
{'learning_rate': 0.01, 'max_iters': 1000, 'schedule': GeomDecay(init_temp=1, decay=0.99, min_temp=0.1)}      19.7561                                                                                                       0.2770                                                                                                        0.7282                                                                                                        0.7533                                                                                                        0.7131                                                                                                        0.7389                                                                                                        0.3844                                                                                                        
{'learning_rate': 0.01, 'max_iters': 1000, 'schedule': GeomDecay(init_temp=1, decay=0.9999, min_temp=0.001)}  19.4699                                                                                                       0.4904                                                                                                        0.7554                                                                                                        0.7525                                                                                                        0.7289                                                                                                        0.7617                                                                                                        0.7533                                                                                                        
