,Iteration,Time,Fitness,Population Size,Mutation Rate,max_iters
0,0,0.0003688380002131453,5.0,10,0.1,4096
1,1,0.0012430719998519635,27.0,10,0.1,4096
2,2,0.001951218000613153,27.0,10,0.1,4096
3,3,0.005129518000103417,32.0,10,0.1,4096
4,4,0.005844316000548133,32.0,10,0.1,4096
5,5,0.006541065000419621,32.0,10,0.1,4096
6,6,0.007232861000375124,32.0,10,0.1,4096
7,7,0.007945205000396527,34.0,10,0.1,4096
8,8,0.008672937000483216,34.0,10,0.1,4096
9,9,0.009395045000019309,34.0,10,0.1,4096
10,10,0.010112345000379719,36.0,10,0.1,4096
11,11,0.011123824000605964,36.0,10,0.1,4096
12,12,0.01186537900048279,36.0,10,0.1,4096
13,13,0.012672965000092518,37.0,10,0.1,4096
14,14,0.013398695999967458,37.0,10,0.1,4096
15,15,0.014116934999947262,37.0,10,0.1,4096
16,16,0.014826392000031774,37.0,10,0.1,4096
17,17,0.01555682500020339,37.0,10,0.1,4096
18,18,0.016347548000339884,37.0,10,0.1,4096
19,19,0.01708008300010988,37.0,10,0.1,4096
20,20,0.017857073999948625,37.0,10,0.1,4096
21,21,0.018571618999885686,37.0,10,0.1,4096
22,22,0.019305352000628773,37.0,10,0.1,4096
23,23,0.020107975999962946,37.0,10,0.1,4096
24,24,0.020808977000342566,37.0,10,0.1,4096
25,25,0.021539817999837396,37.0,10,0.1,4096
26,26,0.022240653000153543,37.0,10,0.1,4096
27,27,0.022939483000300243,37.0,10,0.1,4096
28,28,0.023639783000362513,37.0,10,0.1,4096
29,29,0.024415147000581783,37.0,10,0.1,4096
30,30,0.025141390000499086,37.0,10,0.1,4096
31,31,0.025856633000330476,37.0,10,0.1,4096
32,32,0.026594621000185725,37.0,10,0.1,4096
33,33,0.0273201700001664,37.0,10,0.1,4096
34,34,0.028102420000323036,37.0,10,0.1,4096
35,35,0.028782705000594433,37.0,10,0.1,4096
36,36,0.029506607000257645,37.0,10,0.1,4096
37,37,0.03022004200010997,37.0,10,0.1,4096
38,38,0.030947805999858247,37.0,10,0.1,4096
39,39,0.03165604300011182,37.0,10,0.1,4096
40,40,0.03243450599984499,37.0,10,0.1,4096
41,41,0.03316208500018547,37.0,10,0.1,4096
42,42,0.03386274600052275,37.0,10,0.1,4096
43,43,0.03457488700041722,37.0,10,0.1,4096
44,44,0.03528475100029027,37.0,10,0.1,4096
45,45,0.036018943000271975,37.0,10,0.1,4096
46,46,0.036771809000129,37.0,10,0.1,4096
47,47,0.037482039000678924,37.0,10,0.1,4096
48,48,0.03819824600032007,37.0,10,0.1,4096
49,49,0.038928157000555075,37.0,10,0.1,4096
50,50,0.039662150000367546,37.0,10,0.1,4096
51,51,0.04037526600041019,37.0,10,0.1,4096
52,52,0.041109006000624504,37.0,10,0.1,4096
53,53,0.041858487000354216,37.0,10,0.1,4096
54,54,0.04259151299993391,37.0,10,0.1,4096
55,55,0.04332413800057111,37.0,10,0.1,4096
56,56,0.044106610000199,37.0,10,0.1,4096
57,57,0.04483959500066703,37.0,10,0.1,4096
58,58,0.045564943000499625,37.0,10,0.1,4096
59,59,0.04630038699997385,37.0,10,0.1,4096
60,60,0.04703837299985025,37.0,10,0.1,4096
61,61,0.0477550470004644,37.0,10,0.1,4096
62,62,0.048496838000573916,37.0,10,0.1,4096
63,63,0.04923402500025986,37.0,10,0.1,4096
64,64,0.049975816999904055,37.0,10,0.1,4096
65,65,0.05069030000049679,37.0,10,0.1,4096
66,66,0.05142589100069017,37.0,10,0.1,4096
67,67,0.05219002600006206,37.0,10,0.1,4096
68,68,0.05288427100003901,37.0,10,0.1,4096
69,69,0.05361165200065443,37.0,10,0.1,4096
70,70,0.05434082300052978,37.0,10,0.1,4096
71,71,0.05506812300063757,37.0,10,0.1,4096
72,72,0.05579381700044905,37.0,10,0.1,4096
73,73,0.0565087710001535,37.0,10,0.1,4096
74,74,0.05720708199987712,37.0,10,0.1,4096
75,75,0.05791669800055388,37.0,10,0.1,4096
76,76,0.058625581999876886,37.0,10,0.1,4096
77,77,0.05934064800021588,37.0,10,0.1,4096
78,78,0.06012225199992827,37.0,10,0.1,4096
79,79,0.060849092999887944,37.0,10,0.1,4096
80,80,0.061568527000417816,37.0,10,0.1,4096
81,81,0.062250852000033774,37.0,10,0.1,4096
82,82,0.0629659169999286,37.0,10,0.1,4096
83,83,0.06369040900062828,37.0,10,0.1,4096
84,84,0.06441365800037602,37.0,10,0.1,4096
85,85,0.06514112000058958,37.0,10,0.1,4096
86,86,0.06585469200035732,37.0,10,0.1,4096
87,87,0.06659150599989516,37.0,10,0.1,4096
88,88,0.06732442700013053,37.0,10,0.1,4096
89,89,0.06804387600004702,37.0,10,0.1,4096
90,90,0.06874608199996146,37.0,10,0.1,4096
91,91,0.06946961700032261,37.0,10,0.1,4096
92,92,0.07019720500011317,37.0,10,0.1,4096
93,93,0.07090807700024016,37.0,10,0.1,4096
94,94,0.07163241099988227,37.0,10,0.1,4096
95,95,0.07236043800003245,37.0,10,0.1,4096
96,96,0.0730801320005412,37.0,10,0.1,4096
97,97,0.07379594900066877,37.0,10,0.1,4096
98,98,0.07449691600049846,37.0,10,0.1,4096
99,99,0.07523135500014178,37.0,10,0.1,4096
100,100,0.07596978800029319,37.0,10,0.1,4096
101,101,0.07669792800061259,37.0,10,0.1,4096
102,102,0.07741331099987292,37.0,10,0.1,4096
103,103,0.07814091100044607,37.0,10,0.1,4096
104,104,0.07887059600034263,37.0,10,0.1,4096
105,105,0.07958362600038527,37.0,10,0.1,4096
