,Iteration,Time,Fitness,Population Size,Mutation Rate,max_iters
0,0,0.0003096090003964491,18.0,10,0.1,4096
1,1,0.00126113500300562,18.0,10,0.1,4096
2,2,0.002003540997975506,18.0,10,0.1,4096
3,3,0.005258442004560493,18.0,10,0.1,4096
4,4,0.00601089699921431,18.0,10,0.1,4096
5,5,0.0067311520033399574,18.0,10,0.1,4096
6,6,0.007466529001249,18.0,10,0.1,4096
7,7,0.008202639997762162,18.0,10,0.1,4096
8,8,0.008975648997875396,18.0,10,0.1,4096
9,9,0.009681764000561088,18.0,10,0.1,4096
10,10,0.010404389002360404,18.0,10,0.1,4096
11,11,0.011139715999888722,18.0,10,0.1,4096
12,12,0.011858810001285747,18.0,10,0.1,4096
13,13,0.012602510003489442,18.0,10,0.1,4096
14,14,0.013338149001356214,18.0,10,0.1,4096
15,15,0.014054578998184297,18.0,10,0.1,4096
16,16,0.014783241000259295,18.0,10,0.1,4096
17,17,0.01550794600188965,18.0,10,0.1,4096
18,18,0.016240051001659594,18.0,10,0.1,4096
19,19,0.016979257001366932,18.0,10,0.1,4096
20,20,0.01771226600249065,18.0,10,0.1,4096
21,21,0.018443906999891624,18.0,10,0.1,4096
22,22,0.019181951000064146,18.0,10,0.1,4096
23,23,0.019913271004043054,18.0,10,0.1,4096
24,24,0.020657984998251777,18.0,10,0.1,4096
25,25,0.02137221999873873,18.0,10,0.1,4096
26,26,0.022089992999099195,18.0,10,0.1,4096
27,27,0.022826300002634525,18.0,10,0.1,4096
28,28,0.023543162002169993,18.0,10,0.1,4096
29,29,0.02426022799772909,18.0,10,0.1,4096
30,30,0.024990468999021687,18.0,10,0.1,4096
31,31,0.02569033900363138,18.0,10,0.1,4096
32,32,0.026403133000712842,18.0,10,0.1,4096
33,33,0.027135850003105588,18.0,10,0.1,4096
34,34,0.027834462001919746,18.0,10,0.1,4096
35,35,0.02857593299995642,18.0,10,0.1,4096
36,36,0.029296979002538137,18.0,10,0.1,4096
37,37,0.03001837099873228,18.0,10,0.1,4096
38,38,0.03074866100359941,18.0,10,0.1,4096
39,39,0.03152257000328973,18.0,10,0.1,4096
40,40,0.032254928002657834,18.0,10,0.1,4096
41,41,0.032983190001687035,18.0,10,0.1,4096
42,42,0.03372452600160614,18.0,10,0.1,4096
43,43,0.034438073002093006,18.0,10,0.1,4096
44,44,0.035166449000826105,18.0,10,0.1,4096
45,45,0.03591426200000569,18.0,10,0.1,4096
46,46,0.036626156004786026,18.0,10,0.1,4096
47,47,0.037362009003118146,18.0,10,0.1,4096
48,48,0.03807836899795802,18.0,10,0.1,4096
49,49,0.03875770400190959,18.0,10,0.1,4096
50,50,0.039480359002482146,18.0,10,0.1,4096
51,51,0.04026212399912765,18.0,10,0.1,4096
52,52,0.04101850499864668,18.0,10,0.1,4096
53,53,0.04175200300232973,18.0,10,0.1,4096
54,54,0.04247038700123085,18.0,10,0.1,4096
55,55,0.043184096000913996,18.0,10,0.1,4096
56,56,0.043898119998630136,18.0,10,0.1,4096
57,57,0.0446390840006643,18.0,10,0.1,4096
58,58,0.0453621530032251,18.0,10,0.1,4096
59,59,0.04607144300098298,18.0,10,0.1,4096
60,60,0.04678251500445185,18.0,10,0.1,4096
61,61,0.04750932400202146,18.0,10,0.1,4096
62,62,0.048224579004454426,18.0,10,0.1,4096
63,63,0.048963651002850384,18.0,10,0.1,4096
64,64,0.049688487000821624,18.0,10,0.1,4096
65,65,0.050366841998766176,18.0,10,0.1,4096
66,66,0.051102628000080585,18.0,10,0.1,4096
67,67,0.05179380000481615,18.0,10,0.1,4096
68,68,0.052509492001263425,18.0,10,0.1,4096
69,69,0.05322643399995286,18.0,10,0.1,4096
70,70,0.053954317001625896,18.0,10,0.1,4096
71,71,0.05468261799978791,18.0,10,0.1,4096
