,Iteration,Time,Fitness,Population Size,Mutation Rate,max_iters
0,0,0.0003493779986456502,0.0,10,0.1,4096
1,1,0.0012755059979099315,19.0,10,0.1,4096
2,2,0.002136750001227483,20.0,10,0.1,4096
3,3,0.005269741999654798,20.0,10,0.1,4096
4,4,0.006131993999588303,21.0,10,0.1,4096
5,5,0.006904177000251366,22.0,10,0.1,4096
6,6,0.007668233000003966,24.0,10,0.1,4096
7,7,0.008448501001112163,24.0,10,0.1,4096
8,8,0.009218369999871356,25.0,10,0.1,4096
9,9,0.01007543000014266,25.0,10,0.1,4096
10,10,0.01083260999803315,25.0,10,0.1,4096
11,11,0.011598807999689598,25.0,10,0.1,4096
12,12,0.012366055998427328,25.0,10,0.1,4096
13,13,0.013141352999809897,25.0,10,0.1,4096
14,14,0.013983401000587037,25.0,10,0.1,4096
15,15,0.014889620000758441,26.0,10,0.1,4096
16,16,0.015955168000800768,27.0,10,0.1,4096
17,17,0.016753609001170844,27.0,10,0.1,4096
18,18,0.017535044000396738,27.0,10,0.1,4096
19,19,0.018387191001238534,27.0,10,0.1,4096
20,20,0.01916440000059083,27.0,10,0.1,4096
21,21,0.01992540699939127,27.0,10,0.1,4096
22,22,0.02070138099952601,27.0,10,0.1,4096
23,23,0.021474449000379536,28.0,10,0.1,4096
24,24,0.02230307599893422,30.0,10,0.1,4096
25,25,0.023082069001247874,30.0,10,0.1,4096
26,26,0.02382481899985578,30.0,10,0.1,4096
27,27,0.024566522999521112,32.0,10,0.1,4096
28,28,0.02532073499969556,32.0,10,0.1,4096
29,29,0.02616380399922491,32.0,10,0.1,4096
30,30,0.026938228998915292,32.0,10,0.1,4096
31,31,0.027695988999766996,32.0,10,0.1,4096
32,32,0.028467176998674404,32.0,10,0.1,4096
33,33,0.029232999000669224,32.0,10,0.1,4096
34,34,0.030084346999501577,32.0,10,0.1,4096
35,35,0.030805504000454675,32.0,10,0.1,4096
36,36,0.03157898700010264,32.0,10,0.1,4096
37,37,0.032329159999790136,32.0,10,0.1,4096
38,38,0.03314105499885045,32.0,10,0.1,4096
39,39,0.033964386999286944,32.0,10,0.1,4096
