,Iteration,Time,Fitness,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.000297994999527873,15.0,False,10,0.25,4096
1,1,0.11828496999987692,15.0,False,10,0.25,4096
2,2,0.23700929000006,15.0,False,10,0.25,4096
3,3,0.35989413399965997,15.0,False,10,0.25,4096
4,4,0.47993041799963976,15.0,False,10,0.25,4096
5,5,0.5986772460000793,15.0,False,10,0.25,4096
6,6,0.7167720979996375,15.0,False,10,0.25,4096
7,7,0.8355169319993365,15.0,False,10,0.25,4096
8,8,0.9517891890000101,15.0,False,10,0.25,4096
9,9,1.0677020189996256,15.0,False,10,0.25,4096
10,10,1.1838437219994375,15.0,False,10,0.25,4096
11,11,1.3010582369997792,15.0,False,10,0.25,4096
12,12,1.4213123519994042,15.0,False,10,0.25,4096
13,13,1.5388186509999286,15.0,False,10,0.25,4096
14,14,1.6542149649994826,15.0,False,10,0.25,4096
15,15,1.7689853829997446,15.0,False,10,0.25,4096
16,16,1.884703136999633,15.0,False,10,0.25,4096
17,17,2.0004803510000784,15.0,False,10,0.25,4096
18,18,2.115637101000175,15.0,False,10,0.25,4096
19,19,2.231035895999412,15.0,False,10,0.25,4096
20,20,2.3469894199997725,15.0,False,10,0.25,4096
21,21,2.4625359100000423,15.0,False,10,0.25,4096
22,22,2.578289553000104,15.0,False,10,0.25,4096
23,23,2.6940749859995776,15.0,False,10,0.25,4096
24,24,2.809895061000134,15.0,False,10,0.25,4096
25,25,2.925484960000176,15.0,False,10,0.25,4096
26,26,3.041142024999317,15.0,False,10,0.25,4096
27,27,3.1562374989998716,15.0,False,10,0.25,4096
28,28,3.272088373999395,15.0,False,10,0.25,4096
29,29,3.3890189129997452,15.0,False,10,0.25,4096
30,30,3.507143754000026,15.0,False,10,0.25,4096
31,31,3.623665983000137,15.0,False,10,0.25,4096
32,32,3.739657702999466,15.0,False,10,0.25,4096
33,33,3.8557498430000123,15.0,False,10,0.25,4096
34,34,3.972023786000136,15.0,False,10,0.25,4096
35,35,4.088091001000066,15.0,False,10,0.25,4096
36,36,4.203574739000032,15.0,False,10,0.25,4096
37,37,4.31933840199963,15.0,False,10,0.25,4096
38,38,4.435127367999485,15.0,False,10,0.25,4096
39,39,4.551309626999682,15.0,False,10,0.25,4096
40,40,4.667488797999795,15.0,False,10,0.25,4096
41,41,4.783120270999461,15.0,False,10,0.25,4096
42,42,4.898713988999589,15.0,False,10,0.25,4096
43,43,5.014459439999882,15.0,False,10,0.25,4096
44,44,5.1300847200000135,15.0,False,10,0.25,4096
45,45,5.245389218999662,15.0,False,10,0.25,4096
46,46,5.361044315999607,15.0,False,10,0.25,4096
47,47,5.477773924999383,15.0,False,10,0.25,4096
48,48,5.593538874999467,15.0,False,10,0.25,4096
49,49,5.70939722499952,15.0,False,10,0.25,4096
50,50,5.825529151999945,15.0,False,10,0.25,4096
51,51,5.941531298999507,15.0,False,10,0.25,4096
52,52,6.0574984079994465,15.0,False,10,0.25,4096
53,53,6.173152583999581,15.0,False,10,0.25,4096
54,54,6.289650832999541,15.0,False,10,0.25,4096
55,55,6.407328835000044,15.0,False,10,0.25,4096
56,56,6.52478300599978,15.0,False,10,0.25,4096
57,57,6.640158643999712,15.0,False,10,0.25,4096
58,58,6.7560895400001755,15.0,False,10,0.25,4096
59,59,6.871647322000172,15.0,False,10,0.25,4096
60,60,6.987054145999537,15.0,False,10,0.25,4096
61,61,7.102672461000111,15.0,False,10,0.25,4096
62,62,7.21841075500015,15.0,False,10,0.25,4096
63,63,7.333650150999347,15.0,False,10,0.25,4096
64,64,7.449624240999583,15.0,False,10,0.25,4096
65,65,7.565889669000171,15.0,False,10,0.25,4096
66,66,7.682551459999559,15.0,False,10,0.25,4096
67,67,7.798537212000156,15.0,False,10,0.25,4096
68,68,7.914408855999682,15.0,False,10,0.25,4096
69,69,8.029914164999354,15.0,False,10,0.25,4096
70,70,8.146247908999612,15.0,False,10,0.25,4096
71,71,8.263407643999926,15.0,False,10,0.25,4096
72,72,8.380700955000066,15.0,False,10,0.25,4096
73,73,8.49825206100013,15.0,False,10,0.25,4096
74,74,8.615061141999831,15.0,False,10,0.25,4096
75,75,8.731455365999864,15.0,False,10,0.25,4096
