,Iteration,Time,Fitness,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.0003049000006285496,8.0,False,10,0.25,4096
1,1,0.03437837099772878,8.0,False,10,0.25,4096
2,2,0.07199961500009522,8.0,False,10,0.25,4096
3,3,0.10722119599813595,8.0,False,10,0.25,4096
4,4,0.13884271099959733,8.0,False,10,0.25,4096
5,5,0.16909970899723703,8.0,False,10,0.25,4096
6,6,0.19972877499822062,8.0,False,10,0.25,4096
7,7,0.2304722370026866,8.0,False,10,0.25,4096
8,8,0.2597929620023933,8.0,False,10,0.25,4096
9,9,0.2893771809976897,8.0,False,10,0.25,4096
10,10,0.3191876790006063,8.0,False,10,0.25,4096
11,11,0.34863916900212644,8.0,False,10,0.25,4096
12,12,0.37824455599911744,8.0,False,10,0.25,4096
13,13,0.40827023099700455,8.0,False,10,0.25,4096
14,14,0.44039017100294586,8.0,False,10,0.25,4096
15,15,0.4716624970023986,8.0,False,10,0.25,4096
16,16,0.5024738860010984,8.0,False,10,0.25,4096
17,17,0.5333226360016852,8.0,False,10,0.25,4096
18,18,0.5632540220030933,8.0,False,10,0.25,4096
19,19,0.5932395150011871,8.0,False,10,0.25,4096
20,20,0.6230086340001435,8.0,False,10,0.25,4096
21,21,0.652364920002583,8.0,False,10,0.25,4096
22,22,0.6819173650001176,8.0,False,10,0.25,4096
23,23,0.7116100269995513,8.0,False,10,0.25,4096
24,24,0.7413077930032159,8.0,False,10,0.25,4096
25,25,0.771143256999494,8.0,False,10,0.25,4096
26,26,0.8007570749978186,8.0,False,10,0.25,4096
27,27,0.8305457960013882,8.0,False,10,0.25,4096
28,28,0.8602413940025144,8.0,False,10,0.25,4096
29,29,0.8903330829998595,8.0,False,10,0.25,4096
30,30,0.9203960960003315,8.0,False,10,0.25,4096
31,31,0.950550020999799,8.0,False,10,0.25,4096
32,32,0.980274774999998,8.0,False,10,0.25,4096
33,33,1.010537779002334,8.0,False,10,0.25,4096
34,34,1.040170364001824,8.0,False,10,0.25,4096
35,35,1.0698818210003083,8.0,False,10,0.25,4096
36,36,1.0997152970012394,8.0,False,10,0.25,4096
37,37,1.1292817860012292,8.0,False,10,0.25,4096
38,38,1.1588266550024855,8.0,False,10,0.25,4096
39,39,1.1887110090028727,8.0,False,10,0.25,4096
40,40,1.218699070996081,8.0,False,10,0.25,4096
41,41,1.2508925200017984,8.0,False,10,0.25,4096
42,42,1.2808518840029137,8.0,False,10,0.25,4096
43,43,1.310690735001117,8.0,False,10,0.25,4096
44,44,1.3407712359985453,8.0,False,10,0.25,4096
45,45,1.37062774199876,8.0,False,10,0.25,4096
46,46,1.4002609520030092,8.0,False,10,0.25,4096
47,47,1.4299288149995846,8.0,False,10,0.25,4096
48,48,1.4592430159973446,8.0,False,10,0.25,4096
49,49,1.488588708001771,8.0,False,10,0.25,4096
50,50,1.5184764360019471,8.0,False,10,0.25,4096
51,51,1.5483935049996944,8.0,False,10,0.25,4096
52,52,1.5779805749989464,8.0,False,10,0.25,4096
53,53,1.6077109289981308,8.0,False,10,0.25,4096
54,54,1.6375962090023677,8.0,False,10,0.25,4096
55,55,1.6673249619998387,8.0,False,10,0.25,4096
56,56,1.69675445699977,8.0,False,10,0.25,4096
57,57,1.7266040339964093,8.0,False,10,0.25,4096
58,58,1.7561995919968467,8.0,False,10,0.25,4096
59,59,1.78591546700045,8.0,False,10,0.25,4096
60,60,1.8154371159980656,8.0,False,10,0.25,4096
61,61,1.8451097549987026,8.0,False,10,0.25,4096
62,62,1.8746718600013992,8.0,False,10,0.25,4096
63,63,1.9041122260023258,8.0,False,10,0.25,4096
64,64,1.9338439150014892,8.0,False,10,0.25,4096
65,65,1.963358066001092,8.0,False,10,0.25,4096
66,66,1.9932817590015475,8.0,False,10,0.25,4096
67,67,2.0232331689985585,8.0,False,10,0.25,4096
68,68,2.0531772169997566,8.0,False,10,0.25,4096
69,69,2.082830510000349,8.0,False,10,0.25,4096
70,70,2.112819699003012,8.0,False,10,0.25,4096
71,71,2.1430404459970305,8.0,False,10,0.25,4096
72,72,2.1725717180015636,8.0,False,10,0.25,4096
73,73,2.201917810998566,8.0,False,10,0.25,4096
74,74,2.2335708000027807,8.0,False,10,0.25,4096
75,75,2.263785627998004,8.0,False,10,0.25,4096
76,76,2.2932322359993123,8.0,False,10,0.25,4096
77,77,2.322796403001121,8.0,False,10,0.25,4096
78,78,2.3525450360029936,8.0,False,10,0.25,4096
79,79,2.382170965000114,8.0,False,10,0.25,4096
80,80,2.4114134769988596,8.0,False,10,0.25,4096
81,81,2.441572682997503,8.0,False,10,0.25,4096
82,82,2.471049073996255,8.0,False,10,0.25,4096
83,83,2.5003081710019615,8.0,False,10,0.25,4096
84,84,2.5305206810007803,8.0,False,10,0.25,4096
85,85,2.5600831850024406,8.0,False,10,0.25,4096
86,86,2.5901929039973766,8.0,False,10,0.25,4096
87,87,2.6198742699998547,8.0,False,10,0.25,4096
88,88,2.649577461001172,8.0,False,10,0.25,4096
89,89,2.680378725002811,8.0,False,10,0.25,4096
90,90,2.7100882649974665,8.0,False,10,0.25,4096
91,91,2.7398995949988603,8.0,False,10,0.25,4096
92,92,2.7699494999978924,8.0,False,10,0.25,4096
93,93,2.799844250002934,8.0,False,10,0.25,4096
94,94,2.8297213519981597,8.0,False,10,0.25,4096
95,95,2.8591660000020056,8.0,False,10,0.25,4096
96,96,2.8887844159980887,8.0,False,10,0.25,4096
97,97,2.9184345429966925,8.0,False,10,0.25,4096
98,98,2.948145900001691,8.0,False,10,0.25,4096
99,99,2.9778078099989216,8.0,False,10,0.25,4096
100,100,3.007429231001879,8.0,False,10,0.25,4096
101,101,3.0372669360003783,8.0,False,10,0.25,4096
102,102,3.0667778220013133,8.0,False,10,0.25,4096
103,103,3.09629177700117,8.0,False,10,0.25,4096
104,104,3.1258678149970365,8.0,False,10,0.25,4096
105,105,3.1552309839971713,8.0,False,10,0.25,4096
106,106,3.1850042329970165,8.0,False,10,0.25,4096
107,107,3.2145413140024175,8.0,False,10,0.25,4096
108,108,3.2468782089999877,8.0,False,10,0.25,4096
109,109,3.2766248830012046,8.0,False,10,0.25,4096
110,110,3.3066893569994136,8.0,False,10,0.25,4096
111,111,3.336808246000146,8.0,False,10,0.25,4096
112,112,3.366747647000011,8.0,False,10,0.25,4096
113,113,3.3965142849992844,8.0,False,10,0.25,4096
114,114,3.426483189999999,8.0,False,10,0.25,4096
115,115,3.4565114630022435,8.0,False,10,0.25,4096
116,116,3.486469757001032,8.0,False,10,0.25,4096
117,117,3.515859648003243,8.0,False,10,0.25,4096
118,118,3.5452137749962276,8.0,False,10,0.25,4096
119,119,3.574736857000971,8.0,False,10,0.25,4096
120,120,3.6040104950006935,8.0,False,10,0.25,4096
121,121,3.6335351099987747,8.0,False,10,0.25,4096
122,122,3.663106533997052,8.0,False,10,0.25,4096
123,123,3.692741234001005,8.0,False,10,0.25,4096
124,124,3.7227863110019825,8.0,False,10,0.25,4096
125,125,3.752157522998459,8.0,False,10,0.25,4096
126,126,3.7823151929987944,8.0,False,10,0.25,4096
127,127,3.8117655020032544,8.0,False,10,0.25,4096
128,128,3.841207849996863,8.0,False,10,0.25,4096
129,129,3.8707231590015,8.0,False,10,0.25,4096
130,130,3.900289047996921,8.0,False,10,0.25,4096
131,131,3.9299095469978056,8.0,False,10,0.25,4096
132,132,3.95942157600075,8.0,False,10,0.25,4096
133,133,3.9890748230027384,8.0,False,10,0.25,4096
134,134,4.018780669000989,8.0,False,10,0.25,4096
135,135,4.048257429996738,8.0,False,10,0.25,4096
136,136,4.078062945001875,8.0,False,10,0.25,4096
137,137,4.107663121998485,8.0,False,10,0.25,4096
138,138,4.137601659997017,8.0,False,10,0.25,4096
139,139,4.167221454001265,8.0,False,10,0.25,4096
140,140,4.196658688997559,8.0,False,10,0.25,4096
141,141,4.227306380002119,8.0,False,10,0.25,4096
142,142,4.257563612001832,8.0,False,10,0.25,4096
143,143,4.287174495999352,8.0,False,10,0.25,4096
144,144,4.316968209001061,8.0,False,10,0.25,4096
145,145,4.346339094998257,8.0,False,10,0.25,4096
146,146,4.375792544000433,8.0,False,10,0.25,4096
147,147,4.4057812850005575,8.0,False,10,0.25,4096
148,148,4.435151238001708,8.0,False,10,0.25,4096
149,149,4.464807718999509,8.0,False,10,0.25,4096
150,150,4.4943244219975895,8.0,False,10,0.25,4096
151,151,4.523971458002052,8.0,False,10,0.25,4096
152,152,4.553565659000014,8.0,False,10,0.25,4096
153,153,4.582876171996759,8.0,False,10,0.25,4096
154,154,4.612707556996611,8.0,False,10,0.25,4096
155,155,4.642140388998087,8.0,False,10,0.25,4096
156,156,4.671669800001837,8.0,False,10,0.25,4096
157,157,4.701257882996288,8.0,False,10,0.25,4096
158,158,4.730714500998147,8.0,False,10,0.25,4096
159,159,4.760548133999691,8.0,False,10,0.25,4096
160,160,4.7900908879964845,8.0,False,10,0.25,4096
161,161,4.819684732996393,8.0,False,10,0.25,4096
162,162,4.849096755999199,8.0,False,10,0.25,4096
163,163,4.878911375999451,8.0,False,10,0.25,4096
164,164,4.908431850999477,8.0,False,10,0.25,4096
165,165,4.938322738002171,8.0,False,10,0.25,4096
166,166,4.967644787997415,8.0,False,10,0.25,4096
167,167,4.997339606998139,8.0,False,10,0.25,4096
168,168,5.026804112996615,8.0,False,10,0.25,4096
169,169,5.056214823998744,8.0,False,10,0.25,4096
170,170,5.085889255999064,8.0,False,10,0.25,4096
171,171,5.115255994001927,8.0,False,10,0.25,4096
172,172,5.144911319002858,8.0,False,10,0.25,4096
173,173,5.174303890002193,8.0,False,10,0.25,4096
174,174,5.203707412998483,8.0,False,10,0.25,4096
175,175,5.235640819002583,8.0,False,10,0.25,4096
176,176,5.265286668000044,8.0,False,10,0.25,4096
177,177,5.294875264997245,8.0,False,10,0.25,4096
178,178,5.324533696002618,8.0,False,10,0.25,4096
179,179,5.353960558000836,8.0,False,10,0.25,4096
180,180,5.3831437089975225,8.0,False,10,0.25,4096
181,181,5.412618702001055,8.0,False,10,0.25,4096
182,182,5.441919603996212,8.0,False,10,0.25,4096
183,183,5.47136212100304,8.0,False,10,0.25,4096
184,184,5.500442507996922,8.0,False,10,0.25,4096
185,185,5.529974327000673,8.0,False,10,0.25,4096
186,186,5.559448763000546,8.0,False,10,0.25,4096
187,187,5.588992006996705,8.0,False,10,0.25,4096
188,188,5.618517547998636,8.0,False,10,0.25,4096
189,189,5.6481804869981715,8.0,False,10,0.25,4096
190,190,5.678000697997049,8.0,False,10,0.25,4096
191,191,5.707231565997063,8.0,False,10,0.25,4096
192,192,5.736511098999472,8.0,False,10,0.25,4096
193,193,5.766059305002273,8.0,False,10,0.25,4096
194,194,5.795699529997364,8.0,False,10,0.25,4096
195,195,5.825313376997656,8.0,False,10,0.25,4096
196,196,5.854786356998375,8.0,False,10,0.25,4096
197,197,5.884081497999432,8.0,False,10,0.25,4096
198,198,5.913488320002216,8.0,False,10,0.25,4096
199,199,5.943238820000261,8.0,False,10,0.25,4096
200,200,5.972674277996703,8.0,False,10,0.25,4096
201,201,6.00248088400258,8.0,False,10,0.25,4096
202,202,6.031925356001011,8.0,False,10,0.25,4096
203,203,6.061652848002268,8.0,False,10,0.25,4096
204,204,6.090893742999469,8.0,False,10,0.25,4096
