,Iteration,Time,Fitness,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.0004668949986808002,9.0,False,10,0.25,4096
1,1,0.03340962199581554,9.0,False,10,0.25,4096
2,2,0.06642970099346712,9.0,False,10,0.25,4096
3,3,0.10292637399834348,9.0,False,10,0.25,4096
4,4,0.13670549399830634,9.0,False,10,0.25,4096
5,5,0.16975826699490426,9.0,False,10,0.25,4096
6,6,0.20280180899862899,9.0,False,10,0.25,4096
7,7,0.23646340899722418,9.0,False,10,0.25,4096
8,8,0.26990665999619523,9.0,False,10,0.25,4096
9,9,0.30300180099584395,9.0,False,10,0.25,4096
10,10,0.3352663049954572,9.0,False,10,0.25,4096
11,11,0.36891993299650494,9.0,False,10,0.25,4096
12,12,0.4011899129982339,9.0,False,10,0.25,4096
13,13,0.43338739099999657,9.0,False,10,0.25,4096
14,14,0.4651292359994841,9.0,False,10,0.25,4096
15,15,0.49686337399907643,9.0,False,10,0.25,4096
16,16,0.5288735369977076,9.0,False,10,0.25,4096
17,17,0.5609423149944632,9.0,False,10,0.25,4096
18,18,0.5927728309980012,9.0,False,10,0.25,4096
19,19,0.6244463479961269,9.0,False,10,0.25,4096
20,20,0.6565763489998062,9.0,False,10,0.25,4096
21,21,0.6880513849973795,9.0,False,10,0.25,4096
22,22,0.718276325998886,9.0,False,10,0.25,4096
23,23,0.7507197489976534,9.0,False,10,0.25,4096
24,24,0.7827953949963558,9.0,False,10,0.25,4096
25,25,0.8147803059982834,9.0,False,10,0.25,4096
26,26,0.8464192179962993,9.0,False,10,0.25,4096
27,27,0.8783463279978605,9.0,False,10,0.25,4096
28,28,0.9099267439960386,9.0,False,10,0.25,4096
29,29,0.9415857619969756,9.0,False,10,0.25,4096
30,30,0.9746595629985677,9.0,False,10,0.25,4096
31,31,1.006309059994237,9.0,False,10,0.25,4096
32,32,1.0383300869943923,9.0,False,10,0.25,4096
33,33,1.0703634769961354,9.0,False,10,0.25,4096
34,34,1.1021019599938882,9.0,False,10,0.25,4096
35,35,1.1335570049996022,9.0,False,10,0.25,4096
36,36,1.1659935639981995,9.0,False,10,0.25,4096
37,37,1.1975901659970987,9.0,False,10,0.25,4096
38,38,1.229701734999253,9.0,False,10,0.25,4096
39,39,1.261326375999488,9.0,False,10,0.25,4096
40,40,1.293201552995015,9.0,False,10,0.25,4096
41,41,1.3251667529984843,9.0,False,10,0.25,4096
42,42,1.3569833139990806,9.0,False,10,0.25,4096
43,43,1.3886971319952863,9.0,False,10,0.25,4096
44,44,1.4202919699964696,9.0,False,10,0.25,4096
45,45,1.4514596399967559,9.0,False,10,0.25,4096
46,46,1.4829282219943707,9.0,False,10,0.25,4096
47,47,1.5139516519993776,9.0,False,10,0.25,4096
48,48,1.5455457329953788,9.0,False,10,0.25,4096
49,49,1.5775169849948725,9.0,False,10,0.25,4096
50,50,1.6084969339935924,9.0,False,10,0.25,4096
51,51,1.6396988950000377,9.0,False,10,0.25,4096
52,52,1.6715065079988563,9.0,False,10,0.25,4096
53,53,1.7031580629991367,9.0,False,10,0.25,4096
54,54,1.734646166994935,9.0,False,10,0.25,4096
55,55,1.7655692189946421,9.0,False,10,0.25,4096
56,56,1.797668736995547,9.0,False,10,0.25,4096
57,57,1.8295381859934423,9.0,False,10,0.25,4096
58,58,1.8614153809976415,9.0,False,10,0.25,4096
59,59,1.8928294029974495,9.0,False,10,0.25,4096
60,60,1.9245528440005728,9.0,False,10,0.25,4096
61,61,1.9563532609972754,9.0,False,10,0.25,4096
62,62,1.9884592469970812,9.0,False,10,0.25,4096
63,63,2.0204794489982305,9.0,False,10,0.25,4096
64,64,2.0522691139995004,9.0,False,10,0.25,4096
65,65,2.0850650039938046,9.0,False,10,0.25,4096
66,66,2.115995223997743,9.0,False,10,0.25,4096
67,67,2.147751929995138,9.0,False,10,0.25,4096
68,68,2.180115894996561,9.0,False,10,0.25,4096
69,69,2.212026884997613,9.0,False,10,0.25,4096
70,70,2.243978018996131,9.0,False,10,0.25,4096
71,71,2.275798197995755,9.0,False,10,0.25,4096
72,72,2.307781313000305,9.0,False,10,0.25,4096
73,73,2.339396757997747,9.0,False,10,0.25,4096
74,74,2.370919834000233,9.0,False,10,0.25,4096
75,75,2.4029758519973257,9.0,False,10,0.25,4096
76,76,2.4347434709998197,9.0,False,10,0.25,4096
