,Iteration,Time,Fitness,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.00039299900163314305,465.2496439003712,False,10,0.25,4096
1,1,0.010863592000532662,465.2496439003712,False,10,0.25,4096
2,2,0.020405634000780992,465.2496439003712,False,10,0.25,4096
3,3,0.03223287200307823,465.2496439003712,False,10,0.25,4096
4,4,0.04159116200025892,465.2496439003712,False,10,0.25,4096
5,5,0.05095333500139532,465.2496439003712,False,10,0.25,4096
6,6,0.06035042200164753,465.2496439003712,False,10,0.25,4096
7,7,0.06988293600079487,465.2496439003712,False,10,0.25,4096
8,8,0.07934675500291632,465.2496439003712,False,10,0.25,4096
9,9,0.08875955100302235,465.2496439003712,False,10,0.25,4096
10,10,0.09815709100075765,465.2496439003712,False,10,0.25,4096
11,11,0.10754867200012086,465.2496439003712,False,10,0.25,4096
12,12,0.1169097279998823,465.2496439003712,False,10,0.25,4096
13,13,0.12627586999951745,465.2496439003712,False,10,0.25,4096
14,14,0.1355627970006026,465.2496439003712,False,10,0.25,4096
15,15,0.1448170100011339,465.2496439003712,False,10,0.25,4096
16,16,0.1540247350021673,465.2496439003712,False,10,0.25,4096
17,17,0.16322622100051376,465.2496439003712,False,10,0.25,4096
18,18,0.17249035100030596,465.2496439003712,False,10,0.25,4096
19,19,0.18171573000290664,465.2496439003712,False,10,0.25,4096
20,20,0.19092010399981518,465.2496439003712,False,10,0.25,4096
21,21,0.20018904500102508,465.2496439003712,False,10,0.25,4096
22,22,0.2100468290009303,465.2496439003712,False,10,0.25,4096
23,23,0.2194074159997399,465.2496439003712,False,10,0.25,4096
24,24,0.22904105600173352,465.2496439003712,False,10,0.25,4096
25,25,0.23892987799990806,465.2496439003712,False,10,0.25,4096
26,26,0.24881046800146578,465.2496439003712,False,10,0.25,4096
27,27,0.25829632400200353,465.2496439003712,False,10,0.25,4096
28,28,0.26819242000055965,465.2496439003712,False,10,0.25,4096
29,29,0.277805295001599,465.2496439003712,False,10,0.25,4096
30,30,0.2872078880027402,465.2496439003712,False,10,0.25,4096
31,31,0.29688187099964125,465.2496439003712,False,10,0.25,4096
32,32,0.30636920899996767,465.2496439003712,False,10,0.25,4096
33,33,0.31571396800063667,465.2496439003712,False,10,0.25,4096
34,34,0.3252399780030828,465.2496439003712,False,10,0.25,4096
35,35,0.3346516170022369,465.2496439003712,False,10,0.25,4096
36,36,0.34413421300268965,465.2496439003712,False,10,0.25,4096
37,37,0.35356936500102165,465.2496439003712,False,10,0.25,4096
38,38,0.3631058680002752,465.2496439003712,False,10,0.25,4096
39,39,0.3727613510018273,465.2496439003712,False,10,0.25,4096
40,40,0.3822332630006713,465.2496439003712,False,10,0.25,4096
41,41,0.3916667480007163,465.2496439003712,False,10,0.25,4096
42,42,0.4010645980015397,465.2496439003712,False,10,0.25,4096
43,43,0.4104557230020873,465.2496439003712,False,10,0.25,4096
44,44,0.4198818160002702,465.2496439003712,False,10,0.25,4096
45,45,0.4292933310025546,465.2496439003712,False,10,0.25,4096
46,46,0.4385249250008201,465.2496439003712,False,10,0.25,4096
47,47,0.4478613540013612,465.2496439003712,False,10,0.25,4096
48,48,0.45719184200061136,465.2496439003712,False,10,0.25,4096
49,49,0.4664132290017733,465.2496439003712,False,10,0.25,4096
50,50,0.4756528239995532,465.2496439003712,False,10,0.25,4096
51,51,0.48492090000218013,465.2496439003712,False,10,0.25,4096
52,52,0.4942435250013659,465.2496439003712,False,10,0.25,4096
53,53,0.5035233750022599,465.2496439003712,False,10,0.25,4096
54,54,0.5127883000022848,465.2496439003712,False,10,0.25,4096
55,55,0.5220176280017768,465.2496439003712,False,10,0.25,4096
56,56,0.5312301270023454,465.2496439003712,False,10,0.25,4096
57,57,0.5404781819997879,465.2496439003712,False,10,0.25,4096
58,58,0.5496974630004843,465.2496439003712,False,10,0.25,4096
59,59,0.5588997100021516,465.2496439003712,False,10,0.25,4096
60,60,0.5681449600015185,465.2496439003712,False,10,0.25,4096
61,61,0.5774604660000477,465.2496439003712,False,10,0.25,4096
62,62,0.5866622280009324,465.2496439003712,False,10,0.25,4096
63,63,0.5959202040030505,465.2496439003712,False,10,0.25,4096
64,64,0.6051370550012507,465.2496439003712,False,10,0.25,4096
65,65,0.6143979120024596,465.2496439003712,False,10,0.25,4096
66,66,0.6236203350017604,465.2496439003712,False,10,0.25,4096
67,67,0.6329285620013252,465.2496439003712,False,10,0.25,4096
68,68,0.6421716730001208,465.2496439003712,False,10,0.25,4096
69,69,0.6513635880000948,465.2496439003712,False,10,0.25,4096
70,70,0.6606100019998848,465.2496439003712,False,10,0.25,4096
71,71,0.6698120930013829,465.2496439003712,False,10,0.25,4096
72,72,0.6795504960027756,465.2496439003712,False,10,0.25,4096
73,73,0.6889850130028208,465.2496439003712,False,10,0.25,4096
74,74,0.6982788980021724,465.2496439003712,False,10,0.25,4096
75,75,0.7074622610016377,465.2496439003712,False,10,0.25,4096
76,76,0.7168088060025184,465.2496439003712,False,10,0.25,4096
77,77,0.726071946999582,465.2496439003712,False,10,0.25,4096
78,78,0.735353316002147,465.2496439003712,False,10,0.25,4096
79,79,0.7446542070028954,465.2496439003712,False,10,0.25,4096
80,80,0.7539010390028125,465.2496439003712,False,10,0.25,4096
81,81,0.7631224650031072,465.2496439003712,False,10,0.25,4096
82,82,0.7723832900010166,465.2496439003712,False,10,0.25,4096
83,83,0.7815924720016483,465.2496439003712,False,10,0.25,4096
84,84,0.7907990170024277,465.2496439003712,False,10,0.25,4096
85,85,0.8000808420001704,465.2496439003712,False,10,0.25,4096
86,86,0.8092945330026851,465.2496439003712,False,10,0.25,4096
87,87,0.8185112589999335,465.2496439003712,False,10,0.25,4096
88,88,0.8277641050008242,465.2496439003712,False,10,0.25,4096
89,89,0.8370137780002551,465.2496439003712,False,10,0.25,4096
90,90,0.8462273559998721,465.2496439003712,False,10,0.25,4096
91,91,0.8554271620014333,465.2496439003712,False,10,0.25,4096
92,92,0.8646756030029792,465.2496439003712,False,10,0.25,4096
93,93,0.8739058950013714,465.2496439003712,False,10,0.25,4096
94,94,0.8831177020001633,465.2496439003712,False,10,0.25,4096
95,95,0.8923930410019238,465.2496439003712,False,10,0.25,4096
96,96,0.9016176920013095,465.2496439003712,False,10,0.25,4096
97,97,0.9113163140027609,465.2496439003712,False,10,0.25,4096
98,98,0.9206790210009785,465.2496439003712,False,10,0.25,4096
99,99,0.9300504160019045,465.2496439003712,False,10,0.25,4096
100,100,0.9393970540004375,465.2496439003712,False,10,0.25,4096
101,101,0.9487108050016104,465.2496439003712,False,10,0.25,4096
102,102,0.9579619470023317,465.2496439003712,False,10,0.25,4096
103,103,0.9672157320019323,465.2496439003712,False,10,0.25,4096
104,104,0.9765118899995286,465.2496439003712,False,10,0.25,4096
105,105,0.9857339789996331,465.2496439003712,False,10,0.25,4096
106,106,0.9949527730022965,465.2496439003712,False,10,0.25,4096
107,107,1.004217558001983,465.2496439003712,False,10,0.25,4096
108,108,1.0134339310025098,465.2496439003712,False,10,0.25,4096
109,109,1.0226681740023196,465.2496439003712,False,10,0.25,4096
110,110,1.031893259001663,465.2496439003712,False,10,0.25,4096
111,111,1.041118377001112,465.2496439003712,False,10,0.25,4096
112,112,1.0502918689999206,465.2496439003712,False,10,0.25,4096
113,113,1.0595196860012948,465.2496439003712,False,10,0.25,4096
114,114,1.0687180590030039,465.2496439003712,False,10,0.25,4096
115,115,1.0779120080005669,465.2496439003712,False,10,0.25,4096
116,116,1.0871024090010906,465.2496439003712,False,10,0.25,4096
117,117,1.0964788820019749,465.2496439003712,False,10,0.25,4096
118,118,1.1056907890015282,465.2496439003712,False,10,0.25,4096
119,119,1.114837343000545,465.2496439003712,False,10,0.25,4096
120,120,1.1241712030023336,465.2496439003712,False,10,0.25,4096
121,121,1.1333468690027075,465.2496439003712,False,10,0.25,4096
122,122,1.1425472959999752,465.2496439003712,False,10,0.25,4096
123,123,1.151741639001557,465.2496439003712,False,10,0.25,4096
124,124,1.1609920590017282,465.2496439003712,False,10,0.25,4096
125,125,1.1701932700016187,465.2496439003712,False,10,0.25,4096
126,126,1.1793954470012977,465.2496439003712,False,10,0.25,4096
127,127,1.1886808250019385,465.2496439003712,False,10,0.25,4096
128,128,1.1979097410003305,465.2496439003712,False,10,0.25,4096
129,129,1.207156805001432,465.2496439003712,False,10,0.25,4096
130,130,1.2164950250007678,465.2496439003712,False,10,0.25,4096
131,131,1.2258059100022365,465.2496439003712,False,10,0.25,4096
132,132,1.2350130590020854,465.2496439003712,False,10,0.25,4096
133,133,1.2442832770029781,465.2496439003712,False,10,0.25,4096
134,134,1.2535317570000188,465.2496439003712,False,10,0.25,4096
135,135,1.2627502930008632,465.2496439003712,False,10,0.25,4096
136,136,1.2720626379996247,465.2496439003712,False,10,0.25,4096
137,137,1.2812967300014861,465.2496439003712,False,10,0.25,4096
138,138,1.2905143090029014,465.2496439003712,False,10,0.25,4096
139,139,1.3002520950030885,465.2496439003712,False,10,0.25,4096
140,140,1.3095983420025732,465.2496439003712,False,10,0.25,4096
141,141,1.3189339480013587,465.2496439003712,False,10,0.25,4096
142,142,1.3282322880004358,465.2496439003712,False,10,0.25,4096
143,143,1.3374325080003473,465.2496439003712,False,10,0.25,4096
144,144,1.3466417449999426,465.2496439003712,False,10,0.25,4096
145,145,1.3559492890017282,465.2496439003712,False,10,0.25,4096
146,146,1.3651515170022321,465.2496439003712,False,10,0.25,4096
147,147,1.3743880440015346,465.2496439003712,False,10,0.25,4096
148,148,1.383655808000185,465.2496439003712,False,10,0.25,4096
149,149,1.3929184180015,465.2496439003712,False,10,0.25,4096
150,150,1.4022214130018256,465.2496439003712,False,10,0.25,4096
151,151,1.4115005200001178,465.2496439003712,False,10,0.25,4096
152,152,1.4208297270015464,465.2496439003712,False,10,0.25,4096
153,153,1.4300966920018254,465.2496439003712,False,10,0.25,4096
154,154,1.439359398002125,465.2496439003712,False,10,0.25,4096
155,155,1.448652277002111,465.2496439003712,False,10,0.25,4096
156,156,1.4580530160019407,465.2496439003712,False,10,0.25,4096
157,157,1.4672962900003768,465.2496439003712,False,10,0.25,4096
158,158,1.4765789299999597,465.2496439003712,False,10,0.25,4096
159,159,1.485833252001612,465.2496439003712,False,10,0.25,4096
160,160,1.4952238300029421,465.2496439003712,False,10,0.25,4096
161,161,1.5045025930012343,465.2496439003712,False,10,0.25,4096
162,162,1.5137280510025448,465.2496439003712,False,10,0.25,4096
163,163,1.5230222749996756,465.2496439003712,False,10,0.25,4096
164,164,1.53236140500303,465.2496439003712,False,10,0.25,4096
165,165,1.5416622120028478,465.2496439003712,False,10,0.25,4096
166,166,1.5509442479997233,465.2496439003712,False,10,0.25,4096
167,167,1.5602589379996061,465.2496439003712,False,10,0.25,4096
168,168,1.5695171229999687,465.2496439003712,False,10,0.25,4096
169,169,1.5787805590007338,465.2496439003712,False,10,0.25,4096
170,170,1.5880670270016708,465.2496439003712,False,10,0.25,4096
171,171,1.597340123000322,465.2496439003712,False,10,0.25,4096
172,172,1.6065679500024999,465.2496439003712,False,10,0.25,4096
173,173,1.6158620140013227,465.2496439003712,False,10,0.25,4096
174,174,1.6251361989998259,465.2496439003712,False,10,0.25,4096
175,175,1.6344143960013753,465.2496439003712,False,10,0.25,4096
176,176,1.6436497530012275,465.2496439003712,False,10,0.25,4096
177,177,1.6529553899999883,465.2496439003712,False,10,0.25,4096
178,178,1.6621920020006655,465.2496439003712,False,10,0.25,4096
179,179,1.671431497001322,465.2496439003712,False,10,0.25,4096
180,180,1.6806666880002012,465.2496439003712,False,10,0.25,4096
181,181,1.6898625339999853,465.2496439003712,False,10,0.25,4096
182,182,1.6990459480002755,465.2496439003712,False,10,0.25,4096
183,183,1.7082803350022004,465.2496439003712,False,10,0.25,4096
184,184,1.7175173180003185,465.2496439003712,False,10,0.25,4096
185,185,1.7267355450021569,465.2496439003712,False,10,0.25,4096
186,186,1.7359918000001926,465.2496439003712,False,10,0.25,4096
187,187,1.745190375000675,465.2496439003712,False,10,0.25,4096
188,188,1.7544114780030213,465.2496439003712,False,10,0.25,4096
189,189,1.7635938240018731,465.2496439003712,False,10,0.25,4096
190,190,1.7728418570004578,465.2496439003712,False,10,0.25,4096
191,191,1.782505929000763,465.2496439003712,False,10,0.25,4096
192,192,1.791897589002474,465.2496439003712,False,10,0.25,4096
193,193,1.80130528600057,465.2496439003712,False,10,0.25,4096
194,194,1.810538270001416,465.2496439003712,False,10,0.25,4096
195,195,1.8197817729997041,465.2496439003712,False,10,0.25,4096
196,196,1.8290324050030904,465.2496439003712,False,10,0.25,4096
197,197,1.838223441001901,465.2496439003712,False,10,0.25,4096
198,198,1.84742721099974,465.2496439003712,False,10,0.25,4096
199,199,1.8567467350003426,465.2496439003712,False,10,0.25,4096
200,200,1.8659717770024145,465.2496439003712,False,10,0.25,4096
201,201,1.8751675790008449,465.2496439003712,False,10,0.25,4096
202,202,1.8843829249999544,465.2496439003712,False,10,0.25,4096
203,203,1.8935414309999032,465.2496439003712,False,10,0.25,4096
204,204,1.9027219070012507,465.2496439003712,False,10,0.25,4096
205,205,1.9119669390020135,465.2496439003712,False,10,0.25,4096
206,206,1.9211437860030856,465.2496439003712,False,10,0.25,4096
207,207,1.9303512719998253,465.2496439003712,False,10,0.25,4096
208,208,1.9395752320015163,465.2496439003712,False,10,0.25,4096
209,209,1.9488045400030387,465.2496439003712,False,10,0.25,4096
210,210,1.9580027490010252,465.2496439003712,False,10,0.25,4096
211,211,1.9671834020009555,465.2496439003712,False,10,0.25,4096
212,212,1.9764263510005549,465.2496439003712,False,10,0.25,4096
213,213,1.9856147110003803,465.2496439003712,False,10,0.25,4096
214,214,1.994798150000861,465.2496439003712,False,10,0.25,4096
215,215,2.004018460000225,465.2496439003712,False,10,0.25,4096
216,216,2.013211831002991,465.2496439003712,False,10,0.25,4096
217,217,2.022395428000891,465.2496439003712,False,10,0.25,4096
218,218,2.031599369001924,465.2496439003712,False,10,0.25,4096
219,219,2.040826382002706,465.2496439003712,False,10,0.25,4096
220,220,2.050044728002831,465.2496439003712,False,10,0.25,4096
221,221,2.059233463001874,465.2496439003712,False,10,0.25,4096
222,222,2.0684607710027194,465.2496439003712,False,10,0.25,4096
223,223,2.077665500000876,465.2496439003712,False,10,0.25,4096
224,224,2.0869164590003493,465.2496439003712,False,10,0.25,4096
225,225,2.0961823840007128,465.2496439003712,False,10,0.25,4096
226,226,2.1054099909997603,465.2496439003712,False,10,0.25,4096
