,Iteration,Fitness,Time,State,Restarts,max_iters,current_restart
0,0.0,3.0,0.00011535799421835691,"[0, 1, 0, 1, 1, 0, 1, 0, 0, 0]",5,4096,0
1,2.0,3.0,0.000371729998732917,"[0, 1, 0, 1, 1, 0, 1, 0, 0, 0]",5,4096,0
2,4096.0,18.0,0.5549806609997177,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",5,4096,0
3,0.0,1.0,0.5838646019983571,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0]",5,4096,1
4,2.0,1.0,0.5846174289981718,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0]",5,4096,1
5,4096.0,18.0,1.995601517999603,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",5,4096,1
6,0.0,1.0,2.045329968997976,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",5,4096,2
7,2.0,7.0,2.046352810000826,"[1, 1, 1, 1, 1, 1, 1, 0, 1, 0]",5,4096,2
8,4096.0,18.0,4.300437792000594,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",5,4096,2
9,0.0,2.0,4.37198626800091,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0]",5,4096,3
10,2.0,2.0,4.373428232000151,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0]",5,4096,3
11,4096.0,10.0,7.533103027999459,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,4096,3
12,0.0,0.0,7.6275888469972415,"[0, 1, 0, 1, 0, 1, 0, 1, 1, 1]",5,4096,4
13,2.0,1.0,7.6294256249966566,"[0, 1, 0, 1, 0, 1, 0, 1, 1, 0]",5,4096,4
14,4096.0,18.0,11.645618504997401,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",5,4096,4
15,0.0,10.0,11.758349550997082,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1]",5,4096,5
16,2.0,10.0,11.76060959899769,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1]",5,4096,5
17,4096.0,10.0,16.629145340994,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1]",5,4096,5
18,0.0,3.0,8.892199548427016e-05,"[0, 1, 0, 1, 1, 0, 1, 0, 0, 0]",10,4096,0
19,2.0,3.0,0.00031575299362884834,"[0, 1, 0, 1, 1, 0, 1, 0, 0, 0]",10,4096,0
20,4096.0,18.0,0.6914850399989518,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",10,4096,0
21,0.0,1.0,0.849496143993747,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0]",10,4096,1
22,2.0,1.0,0.8501577349961735,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0]",10,4096,1
23,4096.0,18.0,2.3857999039973947,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",10,4096,1
24,0.0,1.0,2.565013999999792,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",10,4096,2
25,2.0,7.0,2.566119869996328,"[1, 1, 1, 1, 1, 1, 1, 0, 1, 0]",10,4096,2
26,4096.0,18.0,4.937583391998487,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",10,4096,2
27,0.0,2.0,5.139421453997784,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0]",10,4096,3
28,2.0,2.0,5.141318678994139,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0]",10,4096,3
29,4096.0,10.0,8.396066593995783,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",10,4096,3
30,0.0,0.0,8.624748076996184,"[0, 1, 0, 1, 0, 1, 0, 1, 1, 1]",10,4096,4
31,2.0,1.0,8.626704051996057,"[0, 1, 0, 1, 0, 1, 0, 1, 1, 0]",10,4096,4
32,4096.0,18.0,12.807674627998495,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",10,4096,4
33,0.0,10.0,13.053438096998434,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1]",10,4096,5
34,2.0,10.0,13.055753835993528,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1]",10,4096,5
35,4096.0,10.0,18.037484606997168,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1]",10,4096,5
36,0.0,1.0,18.304032043997722,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 1]",10,4096,6
