,Iteration,Fitness,Time,State,Restarts,max_iters,current_restart
0,0.0,0.0,0.00014764899970032275,"[0, 1, 0, 1, 1, 0, 1, 0, 0, 0]",5,4096,0
1,2.0,8.0,0.0005743699948652647,"[0, 0, 0, 1, 1, 0, 1, 0, 0, 0]",5,4096,0
2,4096.0,11.0,0.5831119829963427,"[0, 0, 0, 1, 1, 0, 1, 0, 0, 1]",5,4096,0
3,0.0,0.0,0.6116922799992608,"[1, 0, 0, 1, 0, 1, 0, 1, 0, 1]",5,4096,1
4,2.0,0.0,0.6123176449982566,"[1, 0, 0, 1, 0, 1, 0, 1, 0, 1]",5,4096,1
5,4096.0,8.0,2.085571090996382,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 1]",5,4096,1
6,0.0,0.0,2.1360285869959625,"[1, 0, 1, 0, 1, 0, 0, 1, 1, 1]",5,4096,2
7,2.0,0.0,2.137162258994067,"[1, 0, 1, 0, 1, 0, 0, 1, 1, 1]",5,4096,2
8,4096.0,0.0,4.507615731999977,"[1, 0, 1, 0, 1, 0, 0, 1, 1, 1]",5,4096,2
9,0.0,0.0,4.579795801997534,"[0, 1, 0, 1, 0, 1, 1, 0, 0, 1]",5,4096,3
10,2.0,0.0,4.58132941799704,"[0, 1, 0, 1, 0, 1, 1, 0, 0, 1]",5,4096,3
11,4096.0,0.0,7.925710498995613,"[0, 1, 0, 1, 0, 1, 1, 0, 0, 1]",5,4096,3
12,0.0,7.0,8.021892888995353,"[1, 0, 0, 0, 0, 0, 0, 1, 1, 0]",5,4096,4
13,2.0,7.0,8.02375981699879,"[1, 0, 0, 0, 0, 0, 0, 1, 1, 0]",5,4096,4
14,4096.0,10.0,12.161368575994857,"[1, 0, 0, 0, 0, 0, 0, 1, 1, 1]",5,4096,4
15,0.0,0.0,12.275015948995133,"[1, 1, 1, 0, 1, 0, 1, 0, 1, 1]",5,4096,5
16,2.0,0.0,12.277396741999837,"[1, 1, 1, 0, 1, 0, 1, 0, 1, 1]",5,4096,5
17,4096.0,0.0,17.106376391995582,"[1, 1, 1, 0, 1, 0, 1, 0, 1, 1]",5,4096,5
18,0.0,0.0,9.455299732508138e-05,"[0, 1, 0, 1, 1, 0, 1, 0, 0, 0]",10,4096,0
19,2.0,8.0,0.00032980599644361064,"[0, 0, 0, 1, 1, 0, 1, 0, 0, 0]",10,4096,0
20,4096.0,11.0,0.7090414100021007,"[0, 0, 0, 1, 1, 0, 1, 0, 0, 1]",10,4096,0
21,0.0,0.0,0.8644784069983871,"[1, 0, 0, 1, 0, 1, 0, 1, 0, 1]",10,4096,1
22,2.0,0.0,0.8651831289971597,"[1, 0, 0, 1, 0, 1, 0, 1, 0, 1]",10,4096,1
23,4096.0,8.0,2.4029647520001163,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 1]",10,4096,1
24,0.0,0.0,2.5810936289999518,"[1, 0, 1, 0, 1, 0, 0, 1, 1, 1]",10,4096,2
25,2.0,0.0,2.5821159269980853,"[1, 0, 1, 0, 1, 0, 0, 1, 1, 1]",10,4096,2
26,4096.0,0.0,4.955393341995659,"[1, 0, 1, 0, 1, 0, 0, 1, 1, 1]",10,4096,2
27,0.0,0.0,5.170116100001906,"[0, 1, 0, 1, 0, 1, 1, 0, 0, 1]",10,4096,3
28,2.0,0.0,5.171500185999321,"[0, 1, 0, 1, 0, 1, 1, 0, 0, 1]",10,4096,3
29,4096.0,0.0,8.390578762999212,"[0, 1, 0, 1, 0, 1, 1, 0, 0, 1]",10,4096,3
30,0.0,7.0,8.610665813997912,"[1, 0, 0, 0, 0, 0, 0, 1, 1, 0]",10,4096,4
31,2.0,7.0,8.612506484998448,"[1, 0, 0, 0, 0, 0, 0, 1, 1, 0]",10,4096,4
32,4096.0,10.0,12.713392956997268,"[1, 0, 0, 0, 0, 0, 0, 1, 1, 1]",10,4096,4
33,0.0,0.0,12.957891813995957,"[1, 1, 1, 0, 1, 0, 1, 0, 1, 1]",10,4096,5
34,2.0,0.0,12.960566458001267,"[1, 1, 1, 0, 1, 0, 1, 0, 1, 1]",10,4096,5
35,4096.0,0.0,17.92262341699825,"[1, 1, 1, 0, 1, 0, 1, 0, 1, 1]",10,4096,5
36,0.0,0.0,18.185005851002643,"[0, 1, 1, 0, 0, 1, 1, 1, 0, 1]",10,4096,6
37,2.0,0.0,18.188138387995423,"[0, 1, 1, 0, 0, 1, 1, 1, 0, 1]",10,4096,6
38,4096.0,0.0,24.021077601995785,"[0, 1, 1, 0, 0, 1, 1, 1, 0, 1]",10,4096,6
39,0.0,0.0,24.329856092001137,"[0, 1, 0, 1, 1, 1, 0, 1, 1, 1]",10,4096,7
40,2.0,0.0,24.333140073998948,"[0, 1, 0, 1, 1, 1, 0, 1, 1, 1]",10,4096,7
41,4096.0,0.0,31.058008929998323,"[0, 1, 0, 1, 1, 1, 0, 1, 1, 1]",10,4096,7
42,0.0,7.0,31.35836078599823,"[0, 0, 1, 1, 1, 0, 0, 0, 0, 0]",10,4096,8
43,2.0,7.0,31.36204005900072,"[0, 0, 1, 1, 1, 0, 0, 0, 0, 0]",10,4096,8
44,4096.0,7.0,39.00875504800206,"[0, 0, 1, 1, 1, 0, 0, 0, 0, 0]",10,4096,8
45,0.0,0.0,39.334297499997774,"[1, 0, 1, 1, 1, 1, 1, 1, 1, 0]",10,4096,9
46,2.0,0.0,39.338373658996716,"[1, 0, 1, 1, 1, 1, 1, 1, 1, 0]",10,4096,9
47,4096.0,0.0,47.919021768000675,"[1, 0, 1, 1, 1, 1, 1, 1, 1, 0]",10,4096,9
48,0.0,8.0,48.26423741100007,"[1, 0, 1, 0, 1, 0, 0, 0, 0, 0]",10,4096,10
49,2.0,8.0,48.268812101996446,"[1, 0, 1, 0, 1, 0, 0, 0, 0, 0]",10,4096,10
50,4096.0,8.0,57.80996242800029,"[1, 0, 1, 0, 1, 0, 0, 0, 0, 0]",10,4096,10
51,0.0,0.0,0.00010149700392503291,"[0, 1, 0, 1, 1, 0, 1, 0, 0, 0]",20,4096,0
52,2.0,8.0,0.00034077300369972363,"[0, 0, 0, 1, 1, 0, 1, 0, 0, 0]",20,4096,0
53,4096.0,11.0,0.9439640370037523,"[0, 0, 0, 1, 1, 0, 1, 0, 0, 1]",20,4096,0
54,0.0,0.0,1.3374653730061254,"[1, 0, 0, 1, 0, 1, 0, 1, 0, 1]",20,4096,1
55,2.0,0.0,1.338091917001293,"[1, 0, 0, 1, 0, 1, 0, 1, 0, 1]",20,4096,1
56,4096.0,8.0,3.1820866570051294,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 1]",20,4096,1
57,0.0,0.0,3.5919108750022133,"[1, 0, 1, 0, 1, 0, 0, 1, 1, 1]",20,4096,2
58,2.0,0.0,3.5930588240007637,"[1, 0, 1, 0, 1, 0, 0, 1, 1, 1]",20,4096,2
59,4096.0,0.0,6.240617037001357,"[1, 0, 1, 0, 1, 0, 0, 1, 1, 1]",20,4096,2
60,0.0,0.0,6.671236136004154,"[0, 1, 0, 1, 0, 1, 1, 0, 0, 1]",20,4096,3
61,2.0,0.0,6.672887033004372,"[0, 1, 0, 1, 0, 1, 1, 0, 0, 1]",20,4096,3
62,4096.0,0.0,10.176892020004743,"[0, 1, 0, 1, 0, 1, 1, 0, 0, 1]",20,4096,3
63,0.0,7.0,10.644015921003302,"[1, 0, 0, 0, 0, 0, 0, 1, 1, 0]",20,4096,4
64,2.0,7.0,10.645921314004227,"[1, 0, 0, 0, 0, 0, 0, 1, 1, 0]",20,4096,4
65,4096.0,10.0,15.061114643001929,"[1, 0, 0, 0, 0, 0, 0, 1, 1, 1]",20,4096,4
66,0.0,0.0,15.576370845999918,"[1, 1, 1, 0, 1, 0, 1, 0, 1, 1]",20,4096,5
67,2.0,0.0,15.578778378003335,"[1, 1, 1, 0, 1, 0, 1, 0, 1, 1]",20,4096,5
68,4096.0,0.0,20.8620399690044,"[1, 1, 1, 0, 1, 0, 1, 0, 1, 1]",20,4096,5
69,0.0,0.0,21.360371495000436,"[0, 1, 1, 0, 0, 1, 1, 1, 0, 1]",20,4096,6
70,2.0,0.0,21.363252946001012,"[0, 1, 1, 0, 0, 1, 1, 1, 0, 1]",20,4096,6
71,4096.0,0.0,27.564668819999497,"[0, 1, 1, 0, 0, 1, 1, 1, 0, 1]",20,4096,6
72,0.0,0.0,28.096083590004127,"[0, 1, 0, 1, 1, 1, 0, 1, 1, 1]",20,4096,7
73,2.0,0.0,28.099666646005062,"[0, 1, 0, 1, 1, 1, 0, 1, 1, 1]",20,4096,7
74,4096.0,0.0,35.230629771001986,"[0, 1, 0, 1, 1, 1, 0, 1, 1, 1]",20,4096,7
75,0.0,7.0,35.78198941800656,"[0, 0, 1, 1, 1, 0, 0, 0, 0, 0]",20,4096,8
76,2.0,7.0,35.78613433500141,"[0, 0, 1, 1, 1, 0, 0, 0, 0, 0]",20,4096,8
77,4096.0,7.0,43.798615787003655,"[0, 0, 1, 1, 1, 0, 0, 0, 0, 0]",20,4096,8
78,0.0,0.0,44.37635771100031,"[1, 0, 1, 1, 1, 1, 1, 1, 1, 0]",20,4096,9
79,2.0,0.0,44.38047300800099,"[1, 0, 1, 1, 1, 1, 1, 1, 1, 0]",20,4096,9
80,4096.0,0.0,53.26689109400468,"[1, 0, 1, 1, 1, 1, 1, 1, 1, 0]",20,4096,9
81,0.0,8.0,53.857363640003314,"[1, 0, 1, 0, 1, 0, 0, 0, 0, 0]",20,4096,10
82,2.0,8.0,53.86202360700554,"[1, 0, 1, 0, 1, 0, 0, 0, 0, 0]",20,4096,10
83,4096.0,8.0,63.67079929300235,"[1, 0, 1, 0, 1, 0, 0, 0, 0, 0]",20,4096,10
