,Iteration,Fitness,Time,State,Restarts,max_iters,current_restart
0,0.0,1160.6880072990116,8.215399793698452e-05,"[5, 3, 8, 1, 2, 0, 6, 4, 9, 7]",5,4096,0
1,2.0,1222.191238024196,0.000391326000681147,"[5, 1, 8, 3, 2, 0, 6, 4, 9, 7]",5,4096,0
2,4096.0,1390.6863239178597,0.6754826299984416,"[5, 1, 6, 2, 3, 0, 8, 4, 9, 7]",5,4096,0
3,0.0,1075.0977486978893,0.7040389159992628,"[1, 2, 9, 3, 4, 5, 8, 0, 6, 7]",5,4096,1
4,2.0,1153.6637332873654,0.7047341409997898,"[6, 2, 9, 3, 4, 5, 8, 0, 1, 7]",5,4096,1
5,4096.0,1393.0351866569606,2.1803553979989374,"[5, 7, 0, 3, 2, 6, 8, 9, 4, 1]",5,4096,1
6,0.0,1201.160685731254,2.2318852559983497,"[0, 1, 4, 9, 7, 6, 3, 5, 8, 2]",5,4096,2
7,2.0,1201.160685731254,2.232925468000758,"[0, 1, 4, 9, 7, 6, 3, 5, 8, 2]",5,4096,2
8,4096.0,1399.8683277850866,4.560111669001344,"[5, 7, 0, 8, 6, 2, 3, 9, 4, 1]",5,4096,2
9,0.0,861.1320122993889,4.647741265998775,"[7, 1, 2, 4, 8, 5, 0, 9, 3, 6]",5,4096,3
10,2.0,923.5424197171161,4.649201069998526,"[7, 1, 4, 2, 8, 5, 0, 9, 3, 6]",5,4096,3
11,4096.0,1397.2710839816887,7.785873887998605,"[3, 2, 6, 8, 5, 1, 4, 9, 7, 0]",5,4096,3
12,0.0,1221.1923528602772,7.882905169000878,"[0, 8, 3, 5, 2, 9, 7, 4, 1, 6]",5,4096,4
13,2.0,1261.626106173868,7.88477773699924,"[0, 8, 3, 5, 1, 9, 7, 4, 2, 6]",5,4096,4
14,4096.0,1399.8683277850864,11.963652017999266,"[9, 3, 2, 6, 8, 0, 7, 5, 1, 4]",5,4096,4
15,0.0,1089.570732636581,12.083657135000976,"[6, 2, 9, 7, 4, 0, 5, 3, 8, 1]",5,4096,5
16,2.0,1155.3307952982814,12.085962444998586,"[6, 2, 0, 7, 4, 9, 5, 3, 8, 1]",5,4096,5
17,4096.0,1399.8683277850866,16.916413906001253,"[6, 2, 3, 9, 4, 1, 5, 7, 0, 8]",5,4096,5
18,0.0,1160.6880072990116,9.516199861536734e-05,"[5, 3, 8, 1, 2, 0, 6, 4, 9, 7]",10,4096,0
