,Iteration,Fitness,Time,State,Restarts,max_iters,current_restart
0,0.0,465.24964390037115,7.753699901513755e-05,"[4, 1, 0, 3, 2]",5,4096,0
1,2.0,465.24964390037115,0.0003994430007878691,"[4, 1, 0, 3, 2]",5,4096,0
2,4096.0,465.24964390037115,0.6325996500017936,"[4, 1, 0, 3, 2]",5,4096,0
3,0.0,446.40540904040654,0.6601235099988116,"[1, 3, 2, 4, 0]",5,4096,1
4,2.0,446.40540904040654,0.6608343110019632,"[1, 3, 2, 4, 0]",5,4096,1
5,4096.0,465.2496439003712,2.0933232460010913,"[1, 4, 2, 3, 0]",5,4096,1
6,0.0,355.36031741649447,2.1430336689991236,"[4, 2, 1, 0, 3]",5,4096,2
7,2.0,465.2496439003712,2.144066512999416,"[4, 2, 3, 0, 1]",5,4096,2
8,4096.0,465.2496439003712,4.35236770100164,"[4, 2, 3, 0, 1]",5,4096,2
9,0.0,407.5864693792539,4.456488574000105,"[0, 4, 2, 1, 3]",5,4096,3
10,2.0,411.4391544791564,4.457897356998728,"[0, 4, 1, 2, 3]",5,4096,3
11,4096.0,465.2496439003712,7.439582502000121,"[2, 4, 1, 0, 3]",5,4096,3
12,0.0,369.2043430028691,7.533220764002181,"[2, 4, 3, 1, 0]",5,4096,4
13,2.0,440.2747298255931,7.53501534300085,"[2, 0, 3, 1, 4]",5,4096,4
14,4096.0,465.24964390037115,11.31995938700129,"[2, 3, 0, 1, 4]",5,4096,4
15,0.0,334.23808844161886,11.43737561799935,"[0, 3, 4, 1, 2]",5,4096,5
16,2.0,373.0570281027716,11.43956918800177,"[0, 1, 4, 3, 2]",5,4096,5
17,4096.0,465.24964390037115,16.01013160200091,"[4, 1, 0, 3, 2]",5,4096,5
18,0.0,465.24964390037115,0.00014443899999605492,"[4, 1, 0, 3, 2]",10,4096,0
19,2.0,465.24964390037115,0.0004386569999041967,"[4, 1, 0, 3, 2]",10,4096,0
20,4096.0,465.24964390037115,0.7657712540021748,"[4, 1, 0, 3, 2]",10,4096,0
21,0.0,446.40540904040654,0.939512184002524,"[1, 3, 2, 4, 0]",10,4096,1
22,2.0,446.40540904040654,0.9403120080023655,"[1, 3, 2, 4, 0]",10,4096,1
23,4096.0,465.2496439003712,2.4937506480018783,"[1, 4, 2, 3, 0]",10,4096,1
24,0.0,355.36031741649447,2.6772277150012087,"[4, 2, 1, 0, 3]",10,4096,2
25,2.0,465.2496439003712,2.6783547939994605,"[4, 2, 3, 0, 1]",10,4096,2
26,4096.0,465.2496439003712,5.027084590001323,"[4, 2, 3, 0, 1]",10,4096,2
27,0.0,407.5864693792539,5.2365750660028425,"[0, 4, 2, 1, 3]",10,4096,3
28,2.0,411.4391544791564,5.238038725001388,"[0, 4, 1, 2, 3]",10,4096,3
29,4096.0,465.2496439003712,8.40440880800088,"[2, 4, 1, 0, 3]",10,4096,3
30,0.0,369.2043430028691,8.635748395001428,"[2, 4, 3, 1, 0]",10,4096,4
31,2.0,440.2747298255931,8.637631159002922,"[2, 0, 3, 1, 4]",10,4096,4
32,4096.0,465.24964390037115,12.5974650140015,"[2, 3, 0, 1, 4]",10,4096,4
33,0.0,334.23808844161886,12.85382824500266,"[0, 3, 4, 1, 2]",10,4096,5
34,2.0,373.0570281027716,12.856175949000317,"[0, 1, 4, 3, 2]",10,4096,5
35,4096.0,465.24964390037115,17.647489508002764,"[4, 1, 0, 3, 2]",10,4096,5
36,0.0,355.36031741649447,17.94538221300172,"[4, 2, 1, 0, 3]",10,4096,6
37,2.0,465.2496439003712,17.948037791000388,"[4, 2, 3, 0, 1]",10,4096,6
