,Iteration,Time,Fitness,Temperature,max_iters
0,0,7.260799975483678e-05,4.0,1,4096
1,1,0.00028634199952648487,4.0,1,4096
2,2,0.00034422399949107785,4.0,1,4096
3,3,0.003241827999772795,3.0,1,4096
4,4,0.003295978000096511,3.0,1,4096
5,5,0.0033435889999964274,4.0,1,4096
6,6,0.003385690999493818,4.0,1,4096
7,7,0.003429167999456695,5.0,1,4096
8,8,0.0034697209994192235,5.0,1,4096
9,9,0.0035131449994878494,5.0,1,4096
10,10,0.0035563000001275213,5.0,1,4096
11,11,0.0035989339994557668,5.0,1,4096
12,12,0.003634615000009944,5.0,1,4096
13,13,0.003679213999930653,5.0,1,4096
14,14,0.003723275999618636,5.0,1,4096
15,15,0.0037657180000678636,7.0,1,4096
16,16,0.0038055630002418184,7.0,1,4096
17,17,0.0038414949995058123,7.0,1,4096
18,18,0.0038850869996167603,7.0,1,4096
19,19,0.0039284409995161695,7.0,1,4096
20,20,0.003963971999837668,7.0,1,4096
21,21,0.004016924000097788,7.0,1,4096
22,22,0.00406341399957455,7.0,1,4096
23,23,0.00410745799945289,7.0,1,4096
24,24,0.004151393000029202,9.0,1,4096
25,25,0.004193730000224605,9.0,1,4096
26,26,0.00424076299987064,9.0,1,4096
27,27,0.004286661999685748,9.0,1,4096
28,28,0.004332951999458601,9.0,1,4096
29,29,0.004378925999844796,9.0,1,4096
30,30,0.004417581999405229,9.0,1,4096
31,31,0.004454557999451936,9.0,1,4096
32,32,0.0044920869995621615,9.0,1,4096
33,33,0.004529660000116564,9.0,1,4096
34,34,0.004565854999782459,9.0,1,4096
35,35,0.004611198999555199,9.0,1,4096
36,36,0.00465594700017391,11.0,1,4096
37,37,0.00469865699960792,12.0,1,4096
38,38,0.004741296999782207,12.0,1,4096
39,39,0.00478727199970308,12.0,1,4096
40,40,0.004823913999643992,12.0,1,4096
41,41,0.004861659000198415,12.0,1,4096
42,42,0.004898526000033598,12.0,1,4096
43,43,0.004945646000123816,12.0,1,4096
44,44,0.004992712999410287,12.0,1,4096
45,45,0.00503968300017732,12.0,1,4096
46,46,0.005075987000054738,12.0,1,4096
47,47,0.005115017999742122,12.0,1,4096
48,48,0.005163091000213171,12.0,1,4096
49,49,0.005242997999630461,12.0,1,4096
50,50,0.005305128999680164,12.0,1,4096
51,51,0.005358972999601974,12.0,1,4096
52,52,0.005398057999627781,12.0,1,4096
53,53,0.0054453149996334105,12.0,1,4096
54,54,0.005482423000103154,12.0,1,4096
55,55,0.00552086599964241,12.0,1,4096
56,56,0.005568771000071138,12.0,1,4096
57,57,0.005616546999590355,12.0,1,4096
58,58,0.005655830000250717,12.0,1,4096
59,59,0.005704239999431593,12.0,1,4096
60,60,0.005744100999436341,12.0,1,4096
61,61,0.005784008999398793,12.0,1,4096
62,62,0.00582243099961488,12.0,1,4096
63,63,0.005870598999536014,12.0,1,4096
64,64,0.005909622000217496,12.0,1,4096
65,65,0.005957892999504111,12.0,1,4096
66,66,0.005995380000058503,12.0,1,4096
67,67,0.006042791999789188,12.0,1,4096
68,68,0.006090374999985215,12.0,1,4096
69,69,0.00612809899939748,12.0,1,4096
70,70,0.006165132999740308,12.0,1,4096
71,71,0.006204254999829573,12.0,1,4096
72,72,0.0062432019994957955,12.0,1,4096
73,73,0.006282055000156106,12.0,1,4096
74,74,0.006319111000266275,12.0,1,4096
75,75,0.0063562260002072435,13.0,1,4096
76,76,0.006401752999408927,13.0,1,4096
77,77,0.006438333999540191,14.0,1,4096
78,78,0.006483336000201234,14.0,1,4096
79,79,0.006531811999593629,14.0,1,4096
80,80,0.006571375000021362,14.0,1,4096
81,81,0.006610794000152964,14.0,1,4096
82,82,0.006659228999524203,14.0,1,4096
83,83,0.0066960200001631165,14.0,1,4096
84,84,0.006735251999998582,14.0,1,4096
85,85,0.006773233999410877,14.0,1,4096
86,86,0.006821394999860786,14.0,1,4096
87,87,0.006869535999612708,14.0,1,4096
88,88,0.006908682999892335,34.0,1,4096
89,89,0.006957904999580933,34.0,1,4096
90,90,0.006998504999501165,34.0,1,4096
91,91,0.007038142999590491,34.0,1,4096
92,92,0.007077045999722031,34.0,1,4096
93,93,0.007116750999557553,34.0,1,4096
94,94,0.007156003999625682,34.0,1,4096
95,95,0.007196945999567106,34.0,1,4096
96,96,0.00723638999988907,34.0,1,4096
97,97,0.007276808999449713,34.0,1,4096
98,98,0.007317020999835222,34.0,1,4096
99,99,0.007354896999459015,34.0,1,4096
100,100,0.007392827999865403,34.0,1,4096
101,101,0.0074423360001674155,34.0,1,4096
102,102,0.00748061600006622,34.0,1,4096
103,103,0.007528565999564307,34.0,1,4096
104,104,0.007574209000267729,34.0,1,4096
105,105,0.0076144810000187135,34.0,1,4096
106,106,0.007655377999981283,34.0,1,4096
107,107,0.0077083699998183874,34.0,1,4096
108,108,0.007748031999653904,34.0,1,4096
109,109,0.0077880970002297545,34.0,1,4096
110,110,0.00783012499960023,34.0,1,4096
111,111,0.007871069999964675,34.0,1,4096
112,112,0.007909598999503942,34.0,1,4096
113,113,0.007950233999508782,34.0,1,4096
114,114,0.007992060000105994,34.0,1,4096
115,115,0.0080323900001531,34.0,1,4096
116,116,0.008072554000136734,34.0,1,4096
117,117,0.008114186000057089,34.0,1,4096
118,118,0.008156416000019817,34.0,1,4096
119,119,0.008196269999643846,34.0,1,4096
120,120,0.008238198000071861,34.0,1,4096
121,121,0.00827854099952674,33.0,1,4096
122,122,0.00832950299991353,33.0,1,4096
123,123,0.008379918000173348,33.0,1,4096
124,124,0.008420520999607106,33.0,1,4096
125,125,0.008462316000077408,33.0,1,4096
126,126,0.008512872000210336,33.0,1,4096
127,127,0.00855424800010951,33.0,1,4096
128,128,0.00859578000017791,36.0,1,4096
129,129,0.008644925999760744,36.0,1,4096
130,130,0.008684551999976975,36.0,1,4096
131,131,0.008724440000150935,36.0,1,4096
132,132,0.008763601999817183,36.0,1,4096
133,133,0.00880561400026636,36.0,1,4096
134,134,0.008848558999488887,36.0,1,4096
135,135,0.00889149999966321,36.0,1,4096
136,136,0.008932267000091088,36.0,1,4096
137,137,0.008973983000032604,36.0,1,4096
138,138,0.009015847999762627,36.0,1,4096
139,139,0.00906434199987416,36.0,1,4096
140,140,0.009111993999795232,36.0,1,4096
141,141,0.009152705999440514,36.0,1,4096
142,142,0.009199971000271034,36.0,1,4096
143,143,0.009278468999582401,36.0,1,4096
144,144,0.009355135999612685,36.0,1,4096
145,145,0.009396235999702185,36.0,1,4096
146,146,0.009438926000257197,36.0,1,4096
147,147,0.009481584999775805,36.0,1,4096
148,148,0.009523857999738539,36.0,1,4096
149,149,0.009568349999426573,37.0,1,4096
150,150,0.009619337000003725,37.0,1,4096
151,151,0.00966250500005117,37.0,1,4096
152,152,0.009706267000183288,37.0,1,4096
153,153,0.009750893999807886,37.0,1,4096
154,154,0.009793508999791811,37.0,1,4096
155,155,0.009848523999608005,37.0,1,4096
156,156,0.009915552999700594,37.0,1,4096
157,157,0.00998457999958191,37.0,1,4096
158,158,0.010058068000034837,37.0,1,4096
159,159,0.010135581000213278,37.0,1,4096
160,160,0.010213675000159128,37.0,1,4096
161,161,0.01029135699991457,37.0,1,4096
162,162,0.01035918399975344,37.0,1,4096
163,163,0.01041650400020444,37.0,1,4096
164,164,0.01046861299982993,37.0,1,4096
165,165,0.010522167000090121,37.0,1,4096
166,166,0.010591150999971433,37.0,1,4096
167,167,0.010639011999955983,37.0,1,4096
168,168,0.010681038000257104,37.0,1,4096
169,169,0.010723690999839164,37.0,1,4096
170,170,0.010768727000140643,37.0,1,4096
171,171,0.010811639000166906,37.0,1,4096
172,172,0.010855608999918331,37.0,1,4096
173,173,0.010899593999965873,37.0,1,4096
174,174,0.010945160000119358,37.0,1,4096
175,175,0.010990308999680565,37.0,1,4096
176,176,0.011031731999537442,37.0,1,4096
177,177,0.01107650499943702,37.0,1,4096
178,178,0.011120968999421166,37.0,1,4096
179,179,0.011163637999743514,37.0,1,4096
180,180,0.011204446999727224,37.0,1,4096
181,181,0.011249475000113307,37.0,1,4096
182,182,0.011291337999864481,37.0,1,4096
183,183,0.011335074999806238,37.0,1,4096
184,184,0.011377498999536328,37.0,1,4096
185,185,0.011423093999837874,37.0,1,4096
186,186,0.011468113999399066,37.0,1,4096
187,187,0.011510391000228992,37.0,1,4096
188,188,0.01155284499964182,37.0,1,4096
189,189,0.011597711999456806,37.0,1,4096
190,190,0.01164111900015996,37.0,1,4096
191,191,0.011682094999741821,37.0,1,4096
192,192,0.011727518999578024,37.0,1,4096
193,193,0.011772673999985273,37.0,1,4096
194,194,0.01181843399990612,37.0,1,4096
195,195,0.011861670999678608,37.0,1,4096
196,196,0.01190418599981058,37.0,1,4096
197,197,0.011945901999752095,37.0,1,4096
198,198,0.01199074499982089,37.0,1,4096
199,199,0.01203331899978366,37.0,1,4096
200,200,0.01207617499949265,37.0,1,4096
201,201,0.012119688999518985,37.0,1,4096
202,202,0.012164232000031916,37.0,1,4096
203,203,0.012206343999423552,37.0,1,4096
204,204,0.012251146999915363,37.0,1,4096
205,205,0.012296721999518923,37.0,1,4096
206,206,0.012338554000052682,37.0,1,4096
207,207,0.012382674999571464,37.0,1,4096
208,208,0.012424409000232117,37.0,1,4096
209,209,0.012466801999835297,37.0,1,4096
210,210,0.01251009099996736,37.0,1,4096
211,211,0.012552676999803225,37.0,1,4096
212,212,0.012605992999851878,37.0,1,4096
213,213,0.012651219999497698,37.0,1,4096
214,214,0.012695069999608677,37.0,1,4096
215,215,0.01273821099948691,37.0,1,4096
216,216,0.012783387000126822,37.0,1,4096
217,217,0.012827722000110953,37.0,1,4096
218,218,0.01286990100015828,37.0,1,4096
219,219,0.012913610999930825,37.0,1,4096
220,220,0.012959466999745928,37.0,1,4096
221,221,0.013005531000089832,37.0,1,4096
222,222,0.013049981000222033,37.0,1,4096
223,223,0.013095602000248618,37.0,1,4096
224,224,0.01313822700012679,37.0,1,4096
225,225,0.013181119999899238,37.0,1,4096
226,226,0.013264160000289849,37.0,1,4096
227,227,0.013340325999706693,37.0,1,4096
228,228,0.01338267499977519,37.0,1,4096
229,229,0.013425725000161037,37.0,1,4096
230,230,0.013469061999785481,37.0,1,4096
231,231,0.013514917999600584,37.0,1,4096
232,232,0.013558077999732632,37.0,1,4096
233,233,0.013601793999441725,37.0,1,4096
234,234,0.013648115000250982,37.0,1,4096
235,235,0.013694376999410451,37.0,1,4096
236,236,0.013737010000113514,37.0,1,4096
237,237,0.013781028999801492,37.0,1,4096
238,238,0.013823876000060409,37.0,1,4096
239,239,0.013869886999600567,37.0,1,4096
240,240,0.013914354999542411,37.0,1,4096
241,241,0.013956972999949357,37.0,1,4096
242,242,0.014002537000123993,37.0,1,4096
243,243,0.014045629000065674,37.0,1,4096
244,244,0.014091330000155722,37.0,1,4096
245,245,0.014144656000098621,37.0,1,4096
246,246,0.014193044999956328,37.0,1,4096
247,247,0.014239383000131056,37.0,1,4096
248,248,0.014284770999438479,37.0,1,4096
249,249,0.014327242999570444,37.0,1,4096
250,250,0.014372165999702702,37.0,1,4096
251,251,0.014414888999453979,37.0,1,4096
252,252,0.014461500999459531,37.0,1,4096
253,253,0.014506581999739865,37.0,1,4096
254,254,0.014548993000062183,37.0,1,4096
255,255,0.014594930999919598,37.0,1,4096
256,256,0.014639306999924884,37.0,1,4096
257,257,0.014682510000056936,37.0,1,4096
258,258,0.014725869999892893,37.0,1,4096
259,259,0.014770441000109713,37.0,1,4096
260,260,0.014816844999586465,37.0,1,4096
261,261,0.01486110599944368,37.0,1,4096
262,262,0.014907681999829947,37.0,1,4096
263,263,0.01495270800023718,37.0,1,4096
264,264,0.014997856999798387,37.0,1,4096
265,265,0.015041650999592093,37.0,1,4096
266,266,0.015088381999703415,37.0,1,4096
267,267,0.015132778999941365,37.0,1,4096
268,268,0.015176181999777327,37.0,1,4096
269,269,0.015221591000226908,37.0,1,4096
270,270,0.01526606700008415,37.0,1,4096
271,271,0.01531261599939171,37.0,1,4096
272,272,0.015357204999418173,37.0,1,4096
273,273,0.015401833999931114,37.0,1,4096
274,274,0.015447236999534653,37.0,1,4096
275,275,0.015495001999624947,37.0,1,4096
276,276,0.01553941499969369,37.0,1,4096
277,277,0.015585486999952991,37.0,1,4096
278,278,0.01562941999964096,37.0,1,4096
279,279,0.015675988999646506,37.0,1,4096
280,280,0.01572410900007526,37.0,1,4096
281,281,0.015771663999657903,37.0,1,4096
282,282,0.015819551999811665,37.0,1,4096
283,283,0.01586473399947863,37.0,1,4096
284,284,0.01591115599967452,37.0,1,4096
285,285,0.01595856299991283,37.0,1,4096
286,286,0.016006374999960826,37.0,1,4096
287,287,0.016054005000114557,37.0,1,4096
288,288,0.016100859000289347,37.0,1,4096
289,289,0.01614709200021025,37.0,1,4096
290,290,0.016191509000236692,37.0,1,4096
291,291,0.016236036999544012,37.0,1,4096
292,292,0.016281150999930105,37.0,1,4096
293,293,0.01632541700018919,37.0,1,4096
294,294,0.016373261999433453,37.0,1,4096
295,295,0.016417859999819484,37.0,1,4096
296,296,0.016463009999824862,37.0,1,4096
297,297,0.016510551999999734,37.0,1,4096
298,298,0.016555201999835845,37.0,1,4096
299,299,0.016602693000095314,37.0,1,4096
300,300,0.0166501559997414,37.0,1,4096
301,301,0.016695237000021734,37.0,1,4096
302,302,0.01674315599939291,37.0,1,4096
303,303,0.01678825299950404,37.0,1,4096
304,304,0.016833789999509463,37.0,1,4096
305,305,0.016880469000170706,37.0,1,4096
306,306,0.016926538999541663,37.0,1,4096
