,Iteration,Fitness,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0.0,4.0,7.260799975483678e-05,"[0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0]",geometric,1,0.99,0.001,0.9999992702654831,1,4096
1,2.0,4.0,0.00034422399949107785,"[1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0]",geometric,1,0.99,0.001,0.9999965404391806,1,4096
2,4096.0,37.0,0.3921852189996571,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,1,0.99,0.001,0.9960661647144721,1,4096
3,0.0,4.0,5.942600000707898e-05,"[0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0]",geometric,10,0.99,0.001,9.999994027489198,10,4096
4,2.0,4.0,0.0003036070002053748,"[1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0]",geometric,10,0.99,0.001,9.999969486523359,10,4096
5,4096.0,37.0,0.4097900220003794,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",geometric,10,0.99,0.001,9.958899421519689,10,4096
6,0.0,4.0,6.500800009234808e-05,"[0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0]",geometric,100,0.99,0.001,99.99993466479793,100,4096
7,2.0,4.0,0.0004388719999042223,"[1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0]",geometric,100,0.99,0.001,99.9995589198732,100,4096
8,4096.0,37.0,0.4288976260004347,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",geometric,100,0.99,0.001,99.56987119633376,100,4096
9,0.0,4.0,7.027999981801258e-05,"[0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0]",geometric,500,0.99,0.001,499.99964683132373,500,4096
10,2.0,4.0,0.0003958429997510393,"[1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0]",geometric,500,0.99,0.001,499.99801082641045,500,4096
11,4096.0,37.0,0.44952444399950764,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,500,0.99,0.001,497.74615929684103,500,4096
12,0.0,4.0,7.377500060101738e-05,"[0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0]",geometric,1000,0.99,0.001,999.9992585367412,1000,4096
13,2.0,4.0,0.00032794800063129514,"[1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0]",geometric,1000,0.99,0.001,999.996704017883,1000,4096
14,4096.0,37.0,0.4658111340004325,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",geometric,1000,0.99,0.001,995.329383072298,1000,4096
15,0.0,4.0,6.90160004523932e-05,"[0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0]",geometric,2000,0.99,0.001,1999.9986127325135,2000,4096
16,2.0,4.0,0.0003181390002282569,"[1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0]",geometric,2000,0.99,0.001,1999.9936052026226,2000,4096
17,4096.0,37.0,0.4853231670003879,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,2000,0.99,0.001,1990.268431288167,2000,4096
18,0.0,4.0,7.215700043161632e-05,"[0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0]",geometric,5000,0.99,0.001,4999.996373990872,5000,4096
19,2.0,4.0,0.000414815000112867,"[1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0]",geometric,5000,0.99,0.001,4999.979154893111,5000,4096
20,4096.0,20.0,0.5140890650000074,"[0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1]",geometric,5000,0.99,0.001,4974.232785120605,5000,4096
