,Iteration,Fitness,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0.0,3.0,6.959599704714492e-05,"[0, 1, 0, 1, 1, 0, 1, 0, 0, 0]",geometric,1,0.99,0.001,0.9999993005371003,1,4096
1,2.0,5.0,0.0003169579940731637,"[0, 1, 1, 1, 1, 0, 0, 0, 0, 0]",geometric,1,0.99,0.001,0.9999968144707819,1,4096
2,4096.0,18.0,0.3814506559938309,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",geometric,1,0.99,0.001,0.9961736320693168,1,4096
3,0.0,3.0,6.127599772298709e-05,"[0, 1, 0, 1, 1, 0, 1, 0, 0, 0]",geometric,10,0.99,0.001,9.999993841558329,10,4096
4,2.0,5.0,0.0002914969954872504,"[0, 1, 1, 1, 1, 0, 0, 0, 0, 0]",geometric,10,0.99,0.001,9.999970703615865,10,4096
5,4096.0,18.0,0.39943546900030924,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,10,0.99,0.001,9.959935865598045,10,4096
6,0.0,3.0,6.46010012133047e-05,"[0, 1, 0, 1, 1, 0, 1, 0, 0, 0]",geometric,100,0.99,0.001,99.99993507384521,100,4096
7,2.0,5.0,0.0002987769985338673,"[0, 1, 1, 1, 1, 0, 0, 0, 0, 0]",geometric,100,0.99,0.001,99.99969971953279,100,4096
8,4096.0,18.0,0.4219447619980201,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,100,0.99,0.001,99.5768292444706,100,4096
9,0.0,3.0,7.727200136287138e-05,"[0, 1, 0, 1, 1, 0, 1, 0, 0, 0]",geometric,500,0.99,0.001,499.9996116953679,500,4096
10,2.0,5.0,0.0003239309953642078,"[0, 1, 1, 1, 1, 0, 0, 0, 0, 0]",geometric,500,0.99,0.001,499.99837219500137,500,4096
11,4096.0,18.0,0.4424847999980557,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,500,0.99,0.001,497.7813764748973,500,4096
12,0.0,3.0,7.81010021455586e-05,"[0, 1, 0, 1, 1, 0, 1, 0, 0, 0]",geometric,1000,0.99,0.001,999.999215059006,1000,4096
13,2.0,5.0,0.0003198730046278797,"[0, 1, 1, 1, 1, 0, 0, 0, 0, 0]",geometric,1000,0.99,0.001,999.9967851740406,1000,4096
14,4096.0,18.0,0.4581895310038817,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,1000,0.99,0.001,995.4056278945676,1000,4096
15,0.0,3.0,7.067399565130472e-05,"[0, 1, 0, 1, 1, 0, 1, 0, 0, 0]",geometric,2000,0.99,0.001,1999.9985794057197,2000,4096
16,2.0,5.0,0.0003053149994229898,"[0, 1, 1, 1, 1, 0, 0, 0, 0, 0]",geometric,2000,0.99,0.001,1999.9938629728451,2000,4096
17,4096.0,18.0,0.47519070799899055,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",geometric,2000,0.99,0.001,1990.4711198297555,2000,4096
18,0.0,3.0,7.179200474638492e-05,"[0, 1, 0, 1, 1, 0, 1, 0, 0, 0]",geometric,5000,0.99,0.001,4999.996392332505,5000,4096
19,2.0,5.0,0.00031293600477511063,"[0, 1, 1, 1, 1, 0, 0, 0, 0, 0]",geometric,5000,0.99,0.001,4999.984274464986,5000,4096
20,4096.0,18.0,0.4965510770052788,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",geometric,5000,0.99,0.001,4975.109633945819,5000,4096
