,Iteration,Time,Fitness,Temperature,max_iters
0,0,7.984199964994332e-05,22.0,1,4096
1,1,0.00029022799935773946,25.0,1,4096
2,2,0.0003556969995770487,27.0,1,4096
3,3,0.0032656899993526167,28.0,1,4096
4,4,0.003332505999424029,29.0,1,4096
5,5,0.0033922819993676967,28.0,1,4096
6,6,0.00345676300003106,27.0,1,4096
7,7,0.003517323999403743,31.0,1,4096
8,8,0.003572401999917929,32.0,1,4096
9,9,0.003627976999268867,32.0,1,4096
10,10,0.0036746079995282344,32.0,1,4096
11,11,0.0037212079996606917,32.0,1,4096
12,12,0.0037671430000045802,32.0,1,4096
13,13,0.0038130839993755217,32.0,1,4096
14,14,0.003858243999275146,35.0,1,4096
15,15,0.003913454999747046,34.0,1,4096
16,16,0.003970689999732713,34.0,1,4096
17,17,0.004015639999124687,34.0,1,4096
18,18,0.0040603229999760515,34.0,1,4096
19,19,0.004104629999346798,34.0,1,4096
20,20,0.004148896999140561,34.0,1,4096
21,21,0.00419327199961117,34.0,1,4096
22,22,0.004237466999256867,38.0,1,4096
23,23,0.004291061999538215,40.0,1,4096
24,24,0.004344757999206195,40.0,1,4096
25,25,0.004389509999782604,40.0,1,4096
26,26,0.004434500999195734,40.0,1,4096
27,27,0.00447902499945485,40.0,1,4096
28,28,0.0045234419994812924,40.0,1,4096
29,29,0.004568737999761652,40.0,1,4096
30,30,0.0046135779994074255,40.0,1,4096
31,31,0.00465860199983581,40.0,1,4096
32,32,0.0047036809992277995,40.0,1,4096
33,33,0.004748768999888853,40.0,1,4096
34,34,0.0047937129993442795,40.0,1,4096
35,35,0.004839008999624639,42.0,1,4096
36,36,0.004893593999440782,42.0,1,4096
37,37,0.00493943799938279,42.0,1,4096
38,38,0.004984829999557405,42.0,1,4096
39,39,0.005030316999182105,42.0,1,4096
40,40,0.0050756759992509615,42.0,1,4096
41,41,0.005121045999658236,42.0,1,4096
42,42,0.0051668779997271486,42.0,1,4096
43,43,0.005213099999309634,43.0,1,4096
44,44,0.005267582999294973,43.0,1,4096
45,45,0.005313263999596529,43.0,1,4096
46,46,0.005358970999623125,44.0,1,4096
47,47,0.005414862999714387,44.0,1,4096
48,48,0.00546109599963529,44.0,1,4096
49,49,0.005507917999238998,44.0,1,4096
50,50,0.005554236999159912,44.0,1,4096
51,51,0.005601027000011527,44.0,1,4096
52,52,0.0056477729995094705,44.0,1,4096
53,53,0.005694240999218891,44.0,1,4096
54,54,0.005741512999520637,44.0,1,4096
55,55,0.00578879299973778,44.0,1,4096
56,56,0.005836633999933838,44.0,1,4096
57,57,0.005884148999939498,44.0,1,4096
58,58,0.005932189999839466,44.0,1,4096
59,59,0.006030702999851201,44.0,1,4096
60,60,0.006079280999983894,44.0,1,4096
61,61,0.006126990999291593,44.0,1,4096
62,62,0.006173997999212588,44.0,1,4096
63,63,0.006221955000000889,44.0,1,4096
64,64,0.006269033999160456,44.0,1,4096
65,65,0.006316419999166101,45.0,1,4096
66,66,0.00637342699974397,45.0,1,4096
67,67,0.006420850999347749,45.0,1,4096
68,68,0.006468724999649567,45.0,1,4096
69,69,0.006516230999295658,45.0,1,4096
70,70,0.006563582999660866,45.0,1,4096
71,71,0.006610818999433832,45.0,1,4096
72,72,0.006658096999672125,45.0,1,4096
73,73,0.006707333999656839,45.0,1,4096
74,74,0.006755427999451058,45.0,1,4096
75,75,0.006802914999752829,45.0,1,4096
76,76,0.006850465999377775,45.0,1,4096
77,77,0.006898416999320034,45.0,1,4096
78,78,0.006946018999769876,45.0,1,4096
79,79,0.006993955999860191,45.0,1,4096
80,80,0.007042289999844797,45.0,1,4096
81,81,0.0070904829999562935,45.0,1,4096
82,82,0.007138617999771668,45.0,1,4096
83,83,0.007186859999819717,45.0,1,4096
84,84,0.007234868999148603,45.0,1,4096
85,85,0.007282573999873421,45.0,1,4096
86,86,0.007330071999604115,45.0,1,4096
87,87,0.007378591999440687,45.0,1,4096
88,88,0.007427087999531068,45.0,1,4096
89,89,0.007476344999304274,45.0,1,4096
90,90,0.007524406999436906,45.0,1,4096
91,91,0.007572858999992604,45.0,1,4096
92,92,0.007621615999596543,45.0,1,4096
93,93,0.007669868999983009,45.0,1,4096
94,94,0.007718555999417731,45.0,1,4096
95,95,0.007767626999338972,45.0,1,4096
96,96,0.007816665999598627,45.0,1,4096
97,97,0.007865538999794808,45.0,1,4096
98,98,0.007914317999166087,45.0,1,4096
99,99,0.007962992999637208,45.0,1,4096
100,100,0.008012305999727687,45.0,1,4096
101,101,0.0080612249994374,49.0,1,4096
102,102,0.00811941099982505,49.0,1,4096
103,103,0.008168669999577105,49.0,1,4096
104,104,0.008217844999308,49.0,1,4096
105,105,0.008267423999313905,49.0,1,4096
106,106,0.008316739999827405,49.0,1,4096
107,107,0.008367809999981546,49.0,1,4096
108,108,0.008417549999649054,49.0,1,4096
109,109,0.008467007999570342,49.0,1,4096
110,110,0.008516511999914655,49.0,1,4096
111,111,0.00856603499960329,49.0,1,4096
112,112,0.008615152999482234,49.0,1,4096
113,113,0.008664055999361153,49.0,1,4096
114,114,0.008713327999430476,49.0,1,4096
115,115,0.008762616999774764,49.0,1,4096
116,116,0.008811721999336442,49.0,1,4096
117,117,0.00886126899968076,49.0,1,4096
118,118,0.008911258999432903,49.0,1,4096
119,119,0.008960823999586864,49.0,1,4096
120,120,0.009010676999423595,49.0,1,4096
121,121,0.009060688999852573,49.0,1,4096
122,122,0.00911075299973163,49.0,1,4096
123,123,0.009161234999737644,49.0,1,4096
124,124,0.009211835999849427,49.0,1,4096
125,125,0.00926197199987655,49.0,1,4096
126,126,0.00931197699992481,49.0,1,4096
127,127,0.009362967999550165,49.0,1,4096
128,128,0.00941317899923888,49.0,1,4096
129,129,0.00946399299937184,49.0,1,4096
