,Iteration,Fitness,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0.0,21.0,7.984199964994332e-05,"[0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0]",geometric,1,0.99,0.001,0.9999991975614102,1,4096
1,2.0,25.0,0.0003556969995770487,"[0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0]",geometric,1,0.99,0.001,0.999996425132082,1,4096
2,4096.0,49.0,0.639769740999327,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",geometric,1,0.99,0.001,0.9935907268112085,1,4096
3,0.0,21.0,7.61519995648996e-05,"[0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0]",geometric,10,0.99,0.001,9.999992346471213,10,4096
4,2.0,25.0,0.00035022300016862573,"[0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0]",geometric,10,0.99,0.001,9.999964801474194,10,4096
5,4096.0,49.0,0.6527182130002984,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",geometric,10,0.99,0.001,9.934614328122569,10,4096
6,0.0,21.0,7.75500002418994e-05,"[0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0]",geometric,100,0.99,0.001,99.99992205967558,100,4096
7,2.0,25.0,0.00035086200023215497,"[0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0]",geometric,100,0.99,0.001,99.99964737252768,100,4096
8,4096.0,49.0,0.6761110460001873,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",geometric,100,0.99,0.001,99.3227891693812,100,4096
9,0.0,21.0,8.151400015776744e-05,"[0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0]",geometric,500,0.99,0.001,499.9995903786286,500,4096
10,2.0,25.0,0.00034892900021077367,"[0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0]",geometric,500,0.99,0.001,499.9982465762539,500,4096
11,4096.0,49.0,0.6956903380005315,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",geometric,500,0.99,0.001,496.51623253349334,500,4096
12,0.0,21.0,8.797400005278178e-05,"[0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0]",geometric,1000,0.99,0.001,999.999115832144,1000,4096
13,2.0,25.0,0.00035847999970428646,"[0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0]",geometric,1000,0.99,0.001,999.9963971620964,1000,4096
14,4096.0,49.0,0.7141200120004214,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",geometric,1000,0.99,0.001,992.8485482446564,1000,4096
15,0.0,21.0,8.440799956588307e-05,"[0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0]",geometric,2000,0.99,0.001,1999.9983033432309,2000,4096
16,2.0,25.0,0.00035574499997892417,"[0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0]",geometric,2000,0.99,0.001,1999.9928492993272,2000,4096
17,4096.0,49.0,0.7361076509996565,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",geometric,2000,0.99,0.001,1985.2583393576963,2000,4096
18,0.0,21.0,8.408800022152718e-05,"[0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0]",geometric,5000,0.99,0.001,4999.995774438568,5000,4096
19,2.0,25.0,0.00035243799993622815,"[0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0]",geometric,5000,0.99,0.001,4999.982289430032,5000,4096
20,4096.0,49.0,0.7493351920002169,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",geometric,5000,0.99,0.001,4962.486085538427,5000,4096
