,Iteration,Fitness,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0.0,465.24964390037115,8.25729985081125e-05,"[4, 1, 0, 3, 2]",geometric,1,0.99,0.001,0.9999991701139769,1,4096
1,2.0,465.24964390037115,0.0003800960002990905,"[4, 1, 0, 3, 2]",geometric,1,0.99,0.001,0.9999961799148369,1,4096
2,4096.0,465.24964390037115,0.7474552849998872,"[4, 1, 0, 3, 2]",geometric,1,0.99,0.001,0.9925159692262553,1,4096
3,0.0,465.24964390037115,7.055099922581576e-05,"[4, 1, 0, 3, 2]",geometric,10,0.99,0.001,9.999992909390144,10,4096
4,2.0,465.24964390037115,0.00037875099951634184,"[4, 1, 0, 3, 2]",geometric,10,0.99,0.001,9.99996193432495,10,4096
5,4096.0,465.24964390037115,0.7684844629984582,"[4, 1, 0, 3, 2]",geometric,10,0.99,0.001,9.923062228425694,10,4096
6,0.0,465.24964390037115,7.77890018071048e-05,"[4, 1, 0, 3, 2]",geometric,100,0.99,0.001,99.99992181947117,100,4096
7,2.0,373.0570281027715,0.00047676300164312124,"[4, 1, 0, 2, 3]",geometric,100,0.99,0.001,99.99952083831907,100,4096
8,4096.0,465.2496439003712,0.7901352139997471,"[0, 1, 4, 2, 3]",geometric,100,0.99,0.001,99.20903231592567,100,4096
9,0.0,465.24964390037115,8.29050004540477e-05,"[4, 1, 0, 3, 2]",geometric,500,0.99,0.001,499.99958338862433,500,4096
10,2.0,334.23808844161886,0.00045787599810864776,"[4, 3, 0, 2, 1]",geometric,500,0.99,0.001,499.99769910151406,500,4096
11,4096.0,465.2496439003712,0.8124373069986177,"[2, 4, 1, 0, 3]",geometric,500,0.99,0.001,495.93398872841766,500,4096
12,0.0,465.24964390037115,0.00014538799950969405,"[4, 1, 0, 3, 2]",geometric,1000,0.99,0.001,999.9985388028434,1000,4096
13,2.0,334.23808844161886,0.0005265569998300634,"[4, 3, 0, 2, 1]",geometric,1000,0.99,0.001,999.9947079393087,1000,4096
14,4096.0,465.2496439003712,0.8410003629978746,"[2, 4, 1, 0, 3]",geometric,1000,0.99,0.001,991.5832844620975,1000,4096
15,0.0,465.24964390037115,8.256499859271571e-05,"[4, 1, 0, 3, 2]",geometric,2000,0.99,0.001,1999.9983403887572,2000,4096
16,2.0,334.23808844161886,0.00047268100024666637,"[4, 3, 0, 2, 1]",geometric,2000,0.99,0.001,1999.99049881696,2000,4096
17,4096.0,465.2496439003712,0.8603953150013695,"[3, 0, 1, 4, 2]",geometric,2000,0.99,0.001,1982.780036304718,2000,4096
18,0.0,465.24964390037115,8.318899926962331e-05,"[4, 1, 0, 3, 2]",geometric,5000,0.99,0.001,4999.995819614837,5000,4096
19,2.0,334.23808844161886,0.00047770899982424453,"[4, 3, 0, 2, 1]",geometric,5000,0.99,0.001,4999.975994378185,5000,4096
20,4096.0,465.24964390037115,0.878800180998951,"[4, 1, 0, 3, 2]",geometric,5000,0.99,0.001,4956.033263297059,5000,4096
